ShortenedID	LFQ.intensity.24hrsI-Rep1	LFQ.intensity.24hrsI-Rep2	LFQ.intensity.24hrsI-Rep3	LFQ.intensity.24hrsNI-Rep1	LFQ.intensity.24hrsNI-Rep2	LFQ.intensity.24hrsNI-Rep3	LFQ.intensity.8hrsI-Rep1	LFQ.intensity.8hrsI-Rep2	LFQ.intensity.8hrsI-Rep3	LFQ.intensity.8hrsNI-Rep1	LFQ.intensity.8hrsNI-Rep2	LFQ.intensity.8hrsNI-Rep3
Solyc01g007320.2.1	3069300000	10828000000	1729900000	317760000	386700000	374470000	523060000	803210000	413180000	172840000	438600000	107310000
Solyc01g007330.2.1	12685000000	32079000000	6761200000	760740000	766750000	754370000	2989200000	4711400000	1286600000	534320000	697080000	299090000
Solyc01g007340.2.1	964770	2671900	1059300	749050	754340	0	0	0	0	0	966570	0
Solyc01g007360.2.1	0	1045000	0	0	0	0	0	0	0	0	0	0
Solyc01g007380.1.1	358830000	954300000	221750000	46836000	70367000	70675000	71205000	76618000	63691000	27222000	76410000	37723000
Solyc01g007460.2.1	15899000	45396000	11356000	6740200	15696000	12433000	8198500	13226000	34195000	6192500	34808000	16794000
Solyc01g007470.1.1	1554600	2195900	0	1841900	0	2450700	1990500	0	1819800	0	0	1421000
Solyc01g007490.2.1	500620	0	0	0	0	0	0	0	0	0	0	0
Solyc01g007500.2.1	1225300000	2386100000	734670000	78453000	95618000	110990000	96821000	186520000	184460000	73139000	105830000	38514000
Solyc01g007520.2.1	129960000	125870000	38304000	0	0	0	9974000	8667100	0	0	0	0
Solyc01g007530.2.1	109590000	307500000	96603000	2590700	4355700	7675100	4552800	21777000	8422100	1466500	8572900	4092400
Solyc01g007550.1.1	9578400	6245600	8484300	19449000	8802500	19957000	26316000	7890100	25744000	58138000	13175000	43129000
Solyc01g007560.2.1	45397000	30137000	42838000	77877000	57825000	65844000	54744000	57244000	61425000	109030000	61483000	75637000
Solyc01g007570.2.1	38808000	78723000	28637000	30839000	28684000	27491000	33364000	31111000	45069000	43869000	36692000	25812000
Solyc01g007580.2.1	26998000	52691000	21909000	16459000	11586000	57757000	14923000	26382000	52159000	14908000	21352000	48788000
Solyc01g007590.2.1	19240000	69218000	16904000	18322000	10943000	12793000	21105000	20228000	23474000	27661000	22158000	20327000
Solyc01g007600.2.1	7953500	16209000	17122000	6632700	13325000	4881900	9548000	19581000	20732000	5740800	12554000	6796100
Solyc01g007610.2.1	128210000	188260000	115490000	143530000	138090000	112550000	117610000	142680000	122130000	170360000	170610000	113370000
Solyc01g007620.2.1	0	0	4455200	0	0	0	0	0	0	0	0	0
Solyc01g007630.2.1	120160000	135280000	77926000	94514000	85102000	88852000	92902000	102870000	121280000	134190000	110920000	74229000
Solyc01g007640.2.1	12600000	4690200	11513000	10177000	8468900	10446000	10547000	8061000	8026700	12401000	11613000	12267000
Solyc01g007670.2.1	30994000	67448000	36102000	28953000	27702000	22746000	14506000	49670000	53417000	10382000	61066000	16100000
Solyc01g007740.2.1	3283300	6707400	3392600	0	0	0	0	2299800	0	0	0	0
Solyc01g007910.2.1	0	1232200	0	0	0	0	0	0	0	0	0	0
Solyc05g005190.2.1	8745200	24579000	12286000	4620900	3713000	3435100	2375200	3880300	7171400	4160300	3483600	5413600
Solyc01g008060.2.1	0	0	0	0	0	0	0	0	1088200	0	0	0
Solyc01g008120.2.1	0	0	0	857210	0	0	0	0	0	0	0	0
Solyc01g008170.2.1	10334000	4368800	7008800	13188000	17358000	12792000	10618000	16711000	6430400	12699000	18132000	10753000
Solyc01g008330.2.1	7991800	11875000	2683200	2771100	2462400	0	1988200	3018100	0	0	2378800	0
Solyc01g008360.2.1	2470600	5238000	5846900	18908000	4410100	6348300	8218500	6992200	4933000	3482000	8085600	11078000
Solyc01g008370.2.1	7141300	9903700	6155400	2648500	6271100	5219200	5909500	3045900	3297900	3575400	3863700	2709900
Solyc01g008550.2.1	1758700	3513400	0	379580	0	0	0	0	0	0	0	0
Solyc01g008730.2.1	12206000	10543000	18913000	11551000	12083000	10729000	14662000	11942000	7996700	10784000	9012100	7414700
Solyc01g008850.2.1	5651200	2402100	5361400	2106000	2530300	1721300	1855400	2893300	1558200	1638100	2276100	1380100
Solyc01g008950.2.1	1708800	0	0	0	0	0	0	0	0	0	0	0
Solyc01g008960.2.1	78557000	66237000	100540000	100860000	116190000	152900000	87609000	151800000	117240000	142620000	168620000	163700000
Solyc01g008970.2.1	473500000	260440000	567480000	624820000	519730000	551970000	603100000	555390000	540760000	764400000	607580000	745730000
Solyc01g008990.2.1	11384000	3412700	16419000	8268200	4269600	23302000	10624000	9165800	13951000	5120600	8771700	17508000
Solyc01g009080.2.1	3190000	13808000	2717500	0	0	0	0	0	0	0	0	0
Solyc01g009090.2.1	142520000	72677000	180410000	164720000	218190000	200090000	167210000	202350000	184790000	177060000	179840000	205220000
Solyc01g009100.2.1	8403700	18533000	7240500	6260900	9209600	7464800	7845800	15277000	7270100	3571700	12493000	4347000
Solyc01g009220.2.1	761450	0	449940	436360	394670	0	0	518840	0	420290	476760	537000
Solyc01g009240.2.1	0	0	3264800	0	0	0	0	0	15768000	0	0	0
Solyc01g009290.2.1	16037000	10468000	16285000	29815000	30349000	18001000	37794000	26512000	14833000	25412000	22384000	21686000
Solyc01g009310.2.1	0	0	0	0	0	0	0	0	0	1331800	0	0
Solyc01g009420.2.1	0	775150	0	0	0	0	0	0	0	0	0	0
Solyc01g009450.2.1	0	191770	0	0	0	0	0	0	0	0	0	0
Solyc01g009520.2.1	22724000	31105000	23966000	34194000	21869000	13641000	19759000	26974000	32243000	6353300	39115000	14889000
Solyc01g009550.1.1	0	0	0	7645400	0	0	0	0	0	0	0	0
Solyc01g009620.2.1	734750	0	580520	0	0	3124800	0	0	0	0	0	624960
Solyc01g009630.2.1	44932000	28728000	125180000	93355000	104410000	92172000	100240000	114560000	66093000	43567000	200730000	98333000
Solyc01g009990.2.1	21778000	61567000	12864000	0	0	0	4710700	5396700	0	0	0	0
Solyc01g010440.2.1	39615000	24040000	9618800	1223700	1412500	1288100	2010600	1807100	2154000	3027100	2073500	1052000
Solyc05g007250.2.1	21886000	37561000	35012000	17630000	18029000	14174000	9830700	21170000	20566000	14351000	42329000	17082000
Solyc01g010640.2.1	3462200	10986000	1314600	616730	543170	652040	1106500	1394400	1537600	0	797530	450630
Solyc01g010700.2.1	0	0	0	0	0	0	0	0	0	0	0	251150
Solyc01g010750.2.1	25178000	22237000	27239000	14255000	17590000	13436000	11554000	14045000	8616200	12548000	17234000	14114000
Solyc01g010760.2.1	2855800	5035900	1712100	0	1288000	0	0	0	0	0	0	1252000
Solyc01g010870.2.1	9607000	6598800	3664100	4842000	6978200	3468700	5552800	7295500	6088200	3768200	6702000	4552300
Solyc01g011040.2.1	3088300	2624700	3099300	4004300	7380500	6843300	2923200	1339800	2000400	1531100	3465600	5714800
Solyc01g011410.1.1	0	0	1487100	0	0	0	0	0	0	0	0	0
Solyc01g013890.1.1	0	3574200	1479700	0	0	1061200	0	0	0	0	0	0
Solyc01g014210.1.1	13416000	21387000	4382300	3433300	3760100	3339400	2674600	4117500	3289700	2755200	3031300	3263900
Solyc01g014490.2.1	28945000	17946000	50631000	79046000	48267000	41812000	43456000	53613000	45155000	44004000	48337000	47413000
Solyc01g014850.2.1	7911400	6815400	5599900	8348200	9690500	6213200	8963500	8672300	0	6362800	6419800	6982600
Solyc01g014860.2.1	0	0	0	0	0	0	0	0	0	0	0	278690
Solyc01g015020.2.1	14119000	9277400	14583000	15846000	24191000	18597000	21485000	33866000	21408000	20574000	19267000	14029000
Solyc01g017220.1.1	0	0	6473000	0	0	0	0	0	0	0	0	0
Solyc01g017740.1.1	0	1075000	0	0	0	0	0	0	0	0	0	0
Solyc01g020440.2.1	18216000	7398500	21228000	27047000	34998000	34671000	21506000	19997000	22081000	17070000	18154000	28396000
Solyc01g022750.2.1	0	680390	0	0	0	0	0	0	0	0	0	0
Solyc01g028810.2.1	141550000	316570000	72679000	25409000	27980000	17818000	50992000	69320000	26910000	38962000	43005000	27736000
Solyc01g028860.2.1	1188100	1401700	0	829380	1345900	976960	1166300	1884800	1148100	967340	2545400	615240
Solyc01g028930.2.1	5392700	4147800	7704000	7418000	6938800	5515500	4938800	6459400	6899400	5320600	9109200	4070600
Solyc01g049680.2.1	11698000	10459000	18403000	14423000	23258000	18097000	10420000	11822000	11648000	9989500	14534000	9203400
Solyc01g056330.1.1	17655000	7677400	13531000	25613000	13859000	20663000	17323000	16331000	12033000	29857000	24906000	11683000
Solyc01g056840.1.1	8067200	2564000	4130000	7810700	4896000	4781000	5572500	5593500	3165500	13021000	7240200	3962900
Solyc01g057090.2.1	0	0	0	0	0	950780	0	0	0	0	0	0
Solyc01g057760.2.1	81024000	48416000	92332000	77907000	109690000	76947000	96496000	82449000	77319000	76988000	89622000	79480000
Solyc01g057830.2.1	35719000	121750000	27960000	14893000	13529000	14098000	19215000	27091000	15914000	21028000	15714000	11395000
Solyc01g058220.1.1	414350	1602900	0	0	0	0	0	0	0	0	0	0
Solyc01g058730.2.1	5695500	5126700	2946700	6270200	8114900	3920200	2921300	4225900	4766900	3198200	4122200	1917600
Solyc01g059830.2.1	0	3948200	0	0	0	0	0	0	0	0	0	0
Solyc01g060020.2.1	297600000	572990000	189980000	3433500	4875100	4157900	232270000	77210000	24541000	8929800	2717800	1646200
Solyc01g060030.2.1	0	0	1087600	0	0	1069600	0	0	0	0	0	1151500
Solyc01g060040.2.1	0	0	0	0	0	0	0	0	0	0	0	435300
Solyc01g060140.2.1	5961800	1113400	3699200	3670100	3696700	3530000	2300900	2279500	3308900	3918300	3481500	4862800
Solyc01g060150.2.1	0	0	1891600	0	0	1333200	0	0	0	0	0	2676500
Solyc01g060170.2.1	0	0	0	0	0	0	0	1880500	0	0	0	0
Solyc01g060180.2.1	12389000	51223000	6084600	1353800	1651800	905730	1586000	1628600	0	1173100	1070800	0
Solyc01g060470.2.1	58881000	69129000	112470000	63438000	85039000	107020000	71690000	85495000	72181000	69831000	67809000	87946000
Solyc01g065530.2.1	8491500	17488000	0	2999300	3875000	0	0	3255600	0	0	0	0
Solyc01g065580.2.1	66698000	28761000	96707000	79209000	87544000	90109000	89461000	72452000	81263000	106740000	68471000	94743000
Solyc01g066520.2.1	912140	19829000	357120	0	0	0	253650	0	0	0	0	0
Solyc01g066690.2.1	2719300	0	5703100	0	0	4324700	0	0	4983400	0	0	0
Solyc01g066700.2.1	1720900	0	0	0	0	0	0	0	0	0	0	0
Solyc01g066840.2.1	1525000	4156900	141380	0	0	0	0	1235200	1859500	0	0	435970
Solyc01g066860.2.1	6463800	4964600	2560100	4486600	5340100	0	0	6684600	4970200	5366600	8098700	5440100
Solyc01g067290.2.1	124360000	798080000	68415000	0	0	0	0	53752000	0	168760000	0	0
Solyc01g067390.2.1	272790000	158660000	224860000	326500000	314480000	343880000	414010000	362600000	314480000	250900000	360360000	361260000
Solyc01g067560.2.1	529150	0	399900	0	0	0	581660	0	0	871490	0	0
Solyc01g067630.2.1	0	1959600	0	0	0	0	0	0	0	0	0	0
Solyc01g067730.2.1	0	0	1170200	0	0	0	0	0	0	0	0	0
Solyc01g067750.2.1	341020	1419500	317070	0	0	0	0	0	0	0	0	0
Solyc01g067830.2.1	0	0	869240	0	0	0	0	0	0	0	0	0
Solyc01g068210.2.1	11181000	5113400	9210000	41012000	32014000	29332000	28987000	20592000	26607000	38794000	29229000	18208000
Solyc01g068330.2.1	14376000	6897800	26567000	16174000	26226000	22625000	16448000	23685000	7991600	17077000	18453000	19331000
Solyc01g068390.2.1	0	0	0	0	0	0	0	0	0	1059400	0	0
Solyc01g068480.2.1	400370000	361310000	594890000	441340000	336310000	489060000	402750000	483390000	751090000	674330000	436210000	428640000
Solyc01g068530.2.1	34419000	50088000	32005000	30471000	34529000	29669000	22978000	36711000	30445000	23709000	44017000	19763000
Solyc01g068620.2.1	0	2244300	0	0	0	0	0	0	0	0	0	0
Solyc01g073640.2.1	11845000	34022000	10662000	1645800	1637300	0	935900	2154200	956980	973670	1226300	910420
Solyc01g073690.2.1	8482900	16294000	3669000	5479100	4607200	3572600	2150600	2387300	3173200	2389700	5458000	2510100
Solyc01g073740.2.1	2436700	7511800	0	0	0	0	0	1284900	0	0	0	0
Solyc01g073750.2.1	1136500	0	0	0	0	0	0	0	0	4121900	1010900	2258500
Solyc01g073870.2.1	1762900	0	2175500	2054700	0	4698300	1541300	0	2645100	1978200	1404000	1939000
Solyc01g073940.2.1	1820700	871230	0	2631400	3245900	0	2396500	2074700	0	1666200	0	0
Solyc01g073950.2.1	11305000	5320800	10443000	15266000	11513000	13962000	11220000	15107000	24071000	18022000	10642000	12736000
Solyc01g073960.2.1	32424000	20714000	26377000	42369000	27262000	48777000	64218000	46802000	53078000	37981000	25783000	34124000
Solyc12g056540.1.1	1127500000	756990000	1051200000	2602400000	1253200000	1719200000	2229100000	1193400000	1418000000	1666900000	3647800000	2087300000
Solyc01g074030.2.1	526900000	295920000	893940000	569250000	1170100000	2202400000	918330000	1493500000	1546400000	642140000	838690000	1237600000
Solyc01g079090.2.1	3854100	44115000	2767600	0	0	0	0	756980	0	0	601130	0
Solyc01g079110.2.1	0	0	0	0	0	0	0	0	0	0	2432700	0
Solyc01g079210.2.1	20176000	18385000	20879000	28157000	36103000	25048000	35270000	39196000	38214000	21127000	30810000	21789000
Solyc01g079230.2.1	19798000	9010400	25639000	30035000	26148000	29898000	30352000	25205000	34525000	28578000	19381000	29779000
Solyc01g079240.2.1	0	1530600	0	0	0	0	0	0	0	0	0	0
Solyc01g079250.2.1	33231000	23483000	36669000	36220000	42386000	41200000	47774000	39476000	28583000	37953000	33910000	38670000
Solyc01g079330.2.1	5777000	3523100	2709400	1444600	2622000	3809700	2450300	3595100	2152600	0	0	2540500
Solyc01g079390.2.1	0	0	0	0	0	924250	787750	729250	612210	0	0	583800
Solyc01g079450.2.1	2055300	4036700	0	0	0	0	0	0	0	0	0	0
Solyc06g009660.2.1	1068700	3549900	2107400	0	0	0	0	0	0	0	0	0
Solyc01g079610.2.1	38329000	36498000	54102000	27710000	36844000	21028000	28817000	30840000	26423000	14080000	23572000	21289000
Solyc01g079680.2.1	152740000	133740000	266300000	279060000	330900000	292130000	258790000	251910000	259570000	97669000	367950000	330440000
Solyc01g079690.2.1	41121000	22932000	38998000	55683000	65292000	64071000	76642000	51197000	61651000	56474000	53580000	54055000
Solyc01g079700.2.1	3655200	0	3163900	5359100	3666100	5229100	4715900	4897300	4864100	5619100	4272500	5005100
Solyc01g079710.2.1	0	0	0	0	0	0	2519400	0	2437900	0	0	0
Solyc01g079790.2.1	9007500	50479000	2233400	481860	0	728000	937410	760460	0	0	1001100	531970
Solyc01g079820.2.1	0	0	0	0	0	0	0	0	184100	0	0	0
Solyc01g079940.2.1	10523000	13104000	4430800	0	0	0	2885200	0	0	0	0	0
Solyc01g080010.2.1	5680300	7916500	2759800	0	0	0	0	0	0	0	0	0
Solyc01g080200.2.1	198330	0	459670	0	0	515780	0	0	0	0	0	0
Solyc01g080280.2.1	159750000	483740000	158250000	2816900	3521200	1082900	31190000	60881000	7491400	1760400	4182900	1636700
Solyc01g080290.2.1	0	0	1095700	0	0	0	0	0	0	0	0	0
Solyc01g080450.2.1	0	0	0	0	0	0	0	0	0	0	853040	0
Solyc01g080510.2.1	15061000	4397500	4019300	1815800	1719400	1927800	2748800	2170100	1881500	0	2011100	2079000
Solyc01g080530.2.1	1038300	0	0	0	0	0	0	0	0	0	0	0
Solyc01g080660.2.1	0	0	0	0	0	0	1412700	0	0	718120	0	0
Solyc01g080840.2.1	1417400	44953000	666520	205420	0	0	176660	228200	126360	0	124190	156410
Solyc01g081010.2.1	4529000	3132100	4954800	4891700	9571000	5279100	10815000	12832000	10276000	4423900	8186300	4757400
Solyc01g081030.2.1	0	0	0	0	0	0	0	0	0	0	0	168820
Solyc01g081070.2.1	1767800	7637800	1696600	900440	922510	1113700	0	1000700	0	0	0	926550
Solyc01g081150.2.1	0	0	0	0	0	321610	0	0	0	1279200	0	0
Solyc01g081490.2.1	657810	0	0	3273300	3023400	2396200	2689400	1859500	1769800	4693800	3560400	3541900
Solyc01g081500.2.1	6343100	2589100	5768400	5612900	3561900	6682900	5346800	5390800	3845900	5199100	4630200	5583900
Solyc01g081540.2.1	3233800	3188700	0	5247100	4142000	2693100	0	3087800	0	5000600	4666700	2473800
Solyc01g081570.2.1	33115000	19724000	54896000	44350000	63691000	117160000	43474000	29765000	41235000	27474000	62364000	144670000
Solyc01g086710.2.1	19530000	8131700	25814000	26559000	19205000	24635000	17526000	20191000	10615000	30289000	18929000	27121000
Solyc01g086750.2.1	52869000	38941000	45154000	39120000	40224000	40939000	24866000	46838000	47190000	44885000	43265000	31030000
Solyc01g086890.2.1	0	0	0	0	0	0	1630300	0	0	885940	816850	0
Solyc01g086920.2.1	6385500	1003200	7315400	6539500	6225600	5737000	4367800	7859700	0	2347400	3917800	6982800
Solyc01g086980.2.1	76860000	59011000	85745000	90892000	100110000	99537000	136960000	141810000	110470000	109320000	82803000	68829000
Solyc01g086990.2.1	855960000	731930000	521830000	553980000	878170000	885020000	762480000	1246900000	837420000	475310000	1099400000	898950000
Solyc01g087040.2.1	0	2314500	0	0	0	0	0	0	0	0	0	0
Solyc01g087120.2.1	1051500	34490000	1842600	660670	353190	395540	389970	678700	543050	0	829700	435300
Solyc01g087210.2.1	0	0	2078800	2416300	2325300	3885800	1916900	1704100	2464900	3894800	3106000	2940300
Solyc01g087230.2.1	2477000	0	3781300	4180500	3094700	2386700	3992400	2080000	1305000	2873600	2432700	3139100
Solyc01g087430.2.1	7660400	3863500	8533700	11885000	11635000	11993000	13380000	11614000	4038400	14275000	11666000	11444000
Solyc01g087490.2.1	0	0	1578800	0	0	0	0	0	0	0	0	0
Solyc01g087540.2.1	211430000	103390000	208790000	144210000	258650000	224140000	238660000	182490000	122540000	181470000	159280000	317230000
Solyc01g087670.2.1	203910000	132860000	392760000	346160000	349130000	443110000	411620000	420260000	446100000	514850000	330980000	380900000
Solyc01g087710.2.1	0	0	0	0	0	0	0	0	0	0	948760	0
Solyc01g087730.2.1	90234000	73918000	69032000	66615000	123340000	154090000	97031000	59374000	111770000	46347000	136630000	142080000
Solyc01g087750.2.1	1218300	8705300	946450	0	0	0	941780	0	0	0	0	0
Solyc01g087780.2.1	17940000	16120000	16940000	21338000	14800000	14853000	13990000	17632000	15000000	8967700	14496000	13831000
Solyc01g087800.2.1	10939000	11523000	7898300	5075600	5255600	6647900	4162300	5348500	5022300	8971800	3120500	7658100
Solyc01g087850.2.1	15157000	6146900	1913200	1468300	1931500	1077600	1511300	1503100	1023100	1057300	0	0
Solyc01g087900.2.1	0	0	0	1696100	2001300	1891800	0	1461100	0	1669000	2388000	2064800
Solyc01g087970.2.1	137290000	94254000	116760000	237050000	196290000	264120000	394440000	208250000	261910000	265470000	235680000	259130000
Solyc01g088020.2.1	0	0	5188600	0	0	0	0	0	0	0	1377400	0
Solyc01g088080.2.1	0	1927200	0	0	0	0	0	0	0	0	0	0
Solyc01g088370.2.1	106600000	104930000	43469000	14787000	25911000	29044000	25184000	29718000	31621000	17076000	34057000	10619000
Solyc01g088470.2.1	0	0	0	0	0	0	0	0	0	0	0	245670
Solyc01g088510.2.1	140930000	99575000	110300000	105640000	113480000	76378000	139860000	104760000	111360000	112880000	137860000	85662000
Solyc01g088600.2.1	6275800	9710000	1689200	5826600	2373600	3164200	4226400	2041900	6691400	2014800	2279700	2653100
Solyc01g088700.2.1	8471700	5135500	9334700	2495800	1542300	4627700	5908700	2049300	1490600	2925000	2436400	4506400
Solyc01g088720.2.1	1895600	3190200	1865100	2402300	2952300	2138500	3245800	2336600	2631100	2860700	2719100	1536800
Solyc01g088800.2.1	180630000	92987000	140880000	231380000	260360000	232920000	197760000	185870000	125310000	218810000	220710000	263430000
Solyc01g089870.2.1	0	724920	0	0	0	0	0	0	0	0	0	0
Solyc01g089970.2.1	7319600	20489000	3675900	3295100	1509700	0	1762700	4550400	1233600	0	5796300	1571000
Solyc05g053940.2.1	0	3236200	0	0	0	0	0	0	0	0	0	0
Solyc01g090190.2.1	19752000	25257000	8447100	0	0	683130	497410	960020	1169100	0	972550	1046200
Solyc01g090200.2.1	0	617200	0	0	0	0	0	0	0	0	0	0
Solyc01g090230.2.1	0	0	0	0	0	202400	0	0	0	0	0	0
Solyc01g090430.2.1	0	1581100	0	0	0	0	0	0	0	0	0	0
Solyc01g090470.2.1	6190200	4731700	5863100	7015600	17546000	11127000	10807000	7370300	9475000	6763600	15270000	8894200
Solyc01g090480.2.1	5946600	3428300	7854100	9012400	8599500	9339600	8216200	5301000	2951800	7567300	7566200	9977200
Solyc01g090670.2.1	45574000	46961000	25180000	52178000	41560000	49470000	58828000	41246000	50084000	55134000	40180000	69356000
Solyc01g090750.2.1	0	0	0	0	0	0	0	0	0	0	0	173760
Solyc01g090770.2.1	3859200	2314300	3644700	2412000	3606600	7008200	1441800	1532200	2842200	0	1925200	5706000
Solyc01g090780.2.1	281190	0	402660	0	0	0	0	0	0	0	0	0
Solyc01g090910.2.1	1570200	0	2303700	1797200	0	2078700	0	0	2246800	1312600	1357100	3224300
Solyc01g090970.2.1	36064000	10632000	50683000	48937000	27675000	102540000	23554000	26200000	80581000	15511000	21823000	88063000
