proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep1	proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep2	proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep3	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep1	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep2	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep3	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep1	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep2	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep3	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep1	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep2	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep3
Solyc03g019890.2.1	37943000	22674000	31909000	37616000	33118000	24087000	33587000	20148000	33661000	69981000	51485000	50749000
Solyc03g020020.2.1	38629000	29025000	53253000	30159000	26969000	3494300	32082000	33038000	37087000	30867000	14872000	28067000
Solyc03g025270.2.1	1034600000	747360000	946940000	1096200000	1005100000	815420000	1039600000	1233400000	904020000	505650000	241180000	616180000
Solyc03g025280.2.1	43400000	51566000	44460000	40262000	48991000	35793000	48839000	67781000	47134000	48984000	31837000	36014000
Solyc03g025320.2.1	0	0	0	1402200	2679800	0	983880	926380	0	1345300	2122400	1201300
Solyc03g025540.2.1	51362000	70332000	76803000	65075000	63967000	81905000	59355000	93839000	76248000	76095000	57310000	59053000
Solyc03g025610.1.1	0	0	0	0	0	0	0	0	0	2024100	0	791070
Solyc03g025740.2.1	0	0	2674100	0	0	0	4081100	0	2734700	0	0	0
Solyc03g025850.2.1	3041100000	1281200000	2077700000	2572600000	678840000	1476600000	2770900000	1557800000	2.071e+09	2104800000	822450000	2172900000
Solyc03g025880.2.1	0	21714000	6064900	9966700	7901100	5276700	9748000	13560000	8749600	4757500	4857500	22336000
Solyc03g031720.2.1	13451000	9341400	15297000	10609000	9235300	12953000	11623000	14222000	18844000	20206000	11772000	27416000
Solyc03g031920.2.1	0	0	0	0	0	0	0	0	0	0	0	2739700
Solyc03g032130.2.1	21288000	100890000	17094000	22528000	29319000	31891000	30276000	20935000	5874200	25284000	16719000	15495000
Solyc03g032140.2.1	0	0	0	0	0	0	0	0	591170	0	0	0
Solyc03g033310.2.1	5040000	18686000	36356000	14237000	5665400	6218300	15170000	19665000	20803000	12580000	2060400	15377000
Solyc03g033380.2.1	0	0	2156400	0	4137500	2999500	2372700	4471400	2782200	3920400	0	3918200
Solyc03g033400.2.1	3743200	2298900	1380000	1852800	2840500	0	1882400	2898500	2507800	1861000	3592200	2442700
Solyc03g033440.1.1	0	0	0	0	0	0	0	0	0	0	1344100	0
Solyc03g033500.2.1	1312500	1991800	0	0	0	0	0	0	0	1375600	0	0
Solyc03g033950.2.1	17111000	16929000	13926000	26734000	31367000	22823000	21606000	24646000	14291000	20033000	10675000	11715000
Solyc03g034080.2.1	32004000	50337000	53075000	21473000	52699000	41836000	17786000	21895000	56675000	21920000	15421000	35985000
Solyc03g034200.2.1	200510000	163950000	267190000	195530000	198960000	70961000	199070000	225610000	234890000	185350000	98781000	1.96e+08
Solyc03g034430.1.1	0	0	0	0	0	0	0	0	0	2566700	0	0
Solyc03g043760.2.1	3147400	1886400	2191100	3036300	4000300	0	4178100	2507700	3988400	3005100	1871400	1595600
Solyc03g043880.2.1	0	0	0	0	0	0	0	0	0	0	814860	0
Solyc03g044000.1.1	3552100	21492000	4570300	4663600	23922000	19884000	15961000	14683000	7615400	16683000	23243000	13997000
Solyc03g044140.2.1	21639000	20767000	24174000	12182000	24253000	14445000	18489000	18474000	20710000	11792000	9233500	10882000
Solyc03g044380.2.1	0	0	0	0	0	0	0	0	0	145150	0	0
Solyc03g045050.2.1	524350000	460080000	568460000	437190000	369230000	468480000	539880000	458370000	567150000	524720000	256560000	396570000
Solyc03g045060.2.1	3996500	1812600	5739000	2647000	4021800	0	2271100	3953600	4965900	1234000	1298800	3083900
Solyc03g046350.2.1	2660600	0	2870800	0	2721600	0	2820400	0	0	0	0	0
Solyc03g051900.2.1	254980000	180120000	278070000	262530000	227030000	157340000	221310000	244690000	252820000	138540000	65158000	199350000
Solyc03g052980.2.1	76523000	100680000	64747000	82143000	103760000	59590000	63843000	74631000	73052000	149990000	116330000	166700000
Solyc03g053110.2.1	0	0	0	0	0	0	0	0	0	4391000	17988000	1721800
Solyc03g058350.2.1	27170000	22042000	10697000	21566000	15303000	20713000	18070000	13650000	11520000	6321300	6598000	3856600
Solyc03g058380.2.1	242110000	125380000	125020000	136240000	109640000	188740000	134120000	96799000	112860000	73403000	45621000	61136000
Solyc03g058390.1.1	4028900	3869900	8978300	0	3160600	12661000	2894000	0	3415800	0	0	1384000
Solyc03g059100.1.1	214830000	189330000	184080000	186560000	165520000	201250000	180010000	174290000	183810000	143750000	89671000	141220000
Solyc03g059170.2.1	0	0	0	792310	0	0	0	0	0	1781500	11955000	0
Solyc03g059420.2.1	5116000	2811300	4166000	3524700	2055100	0	4672200	3668700	4009200	2604800	2335800	3216200
Solyc03g062720.2.1	0	0	0	0	0	0	0	0	0	7619400	26373000	4696000
Solyc03g062790.2.1	0	0	0	0	614860	0	0	0	0	1434700	9637700	1239500
Solyc03g062930.1.1	0	0	0	0	0	0	0	2362300	0	0	0	0
Solyc03g063200.2.1	4910200	4202200	5240200	3356300	2334300	1961900	6576400	5687300	6008400	3906400	2191000	4274400
Solyc03g063210.2.1	750940	467920	0	0	0	0	534310	0	0	573060	0	647710
Solyc03g063220.1.1	2161900	1507500	2260200	2927800	1479100	0	2113700	1835300	2121200	1445200	649490	1220200
Solyc03g063280.2.1	17731000	15774000	19618000	19605000	16665000	19883000	20262000	13003000	23221000	14941000	12343000	16207000
Solyc03g063560.2.1	2915500	4538600	3159100	41928000	61884000	2468600	13629000	3389400	3642000	140790000	377120000	97358000
Solyc03g065250.2.1	0	0	0	0	228060	0	0	0	0	0	0	0
Solyc03g071560.2.1	6795700	10034000	8724200	6506700	5902700	3221900	3956600	6354000	7396900	8185900	2895700	6002300
Solyc03g071620.1.1	13012000	28559000	30868000	24109000	5509000	2570300	20481000	105020000	344520	13146000	8308200	693530
Solyc03g071770.1.1	29173000	19045000	14602000	12513000	16476000	10832000	16854000	13320000	12211000	9359500	1074900	7588500
Solyc03g078290.2.1	0	0	0	0	3593100	0	0	0	0	0	0	0
Solyc03g079940.2.1	0	0	0	0	0	0	0	0	0	0	0	1061800
Solyc03g079950.2.1	3357400	1728200	4562200	1817700	1762700	3458400	2786500	1674900	0	1695900	0	1881000
Solyc03g080090.2.1	0	0	0	0	0	0	0	0	0	0	167350	0
Solyc03g080160.2.1	0	0	0	0	0	0	0	0	0	0	5039000	0
Solyc03g081300.2.1	53876000	25668000	40974000	50722000	37433000	42736000	38786000	36206000	40573000	27129000	20530000	20684000
Solyc03g082380.2.1	105920000	103750000	105530000	50635000	73576000	82082000	73824000	70481000	78669000	92437000	39845000	80923000
Solyc03g082440.1.1	0	0	0	0	0	0	0	0	260280	0	0	0
Solyc03g082490.2.1	0	0	0	0	0	0	0	0	0	0	0	3450500
Solyc03g082500.2.1	0	0	0	0	0	0	0	0	0	1134400	1145600	1117700
Solyc03g082560.2.1	0	0	0	0	0	0	0	0	0	1561700	1854400	1143000
Solyc03g082710.2.1	3559000	4510300	5455000	3126600	4700300	5386300	4912200	5714800	4135100	3417100	2548800	2266000
Solyc03g082920.2.1	37008000	26447000	35765000	28867000	46216000	26627000	39549000	38503000	25791000	49033000	72973000	54133000
Solyc03g082940.2.1	8523000	7614200	12908000	11800000	15110000	11216000	9944100	14469000	19340000	14885000	9696300	12051000
Solyc03g082970.2.1	9250000	12566000	14716000	7246600	10908000	16255000	13797000	12672000	8348300	7480000	4625500	10143000
Solyc03g082980.2.1	0	1238400	2870700	0	1754500	0	0	2193500	2751100	868290	0	2723400
Solyc03g083210.2.1	2937300	3328400	3418200	3178100	1664000	1875500	2725600	2182100	2219600	1298900	0	1728200
Solyc03g083240.2.1	6711800	4029000	3545300	4611100	3290200	3892900	5367100	3734900	3720200	2130000	0	1880400
Solyc03g083280.2.1	4468100	6333900	3150800	4130100	5156100	4514000	4160100	5144300	3235300	9967500	8632200	9278900
Solyc03g083300.2.1	0	689300	535930	617230	0	0	0	0	618230	0	842070	0
Solyc03g083310.2.1	1807600	871610	1751500	0	0	0	0	0	2097700	0	0	0
Solyc03g083360.2.1	18312000	20091000	36266000	28997000	14398000	13866000	28768000	37787000	40782000	11464000	3768100	13581000
Solyc03g083430.2.1	263200000	506370000	459210000	446410000	416190000	303500000	493810000	493120000	373110000	512310000	383470000	506070000
Solyc03g083520.2.1	1331500	1276800	1047900	0	0	0	0	0	1091500	825880	2415600	0
Solyc03g083770.1.1	0	3962900	0	0	403050	0	0	0	0	0	0	382880
Solyc03g083970.2.1	17911000	17393000	19825000	5783400	14831000	0	18744000	12653000	16059000	19698000	14986000	19148000
Solyc03g093160.2.1	4273300	3914900	12620000	8636100	6827600	5169400	3092200	5793500	7882700	3254400	2344900	9661100
Solyc03g093240.2.1	5991700	5019500	4035500	2530400	6020800	2417300	4571800	3842500	4521500	1794800	1168700	3094500
Solyc03g093480.2.1	122100000	87188000	132040000	91148000	86438000	42126000	101480000	71778000	122420000	66550000	31070000	90908000
Solyc03g093640.2.1	0	1395700	0	1582600	1418900	0	0	1349900	0	1099700	0	1028800
Solyc03g093680.2.1	10985000	65885000	38046000	21396000	55164000	41283000	32166000	25740000	41739000	17750000	28581000	61021000
Solyc03g094030.2.1	0	0	114760	0	0	0	0	0	0	0	0	0
Solyc03g094080.2.1	0	0	13229000	0	0	0	0	0	0	0	0	0
Solyc03g094090.2.1	0	3588500	0	2137400	1464600	745760	2476300	0	4378100	0	1549400	0
Solyc03g095180.2.1	23925000	23639000	49964000	23777000	12714000	28715000	28783000	15685000	39204000	16302000	5749700	10164000
Solyc03g095380.1.1	51802000	31054000	37838000	43022000	28463000	30964000	37900000	15182000	33156000	31886000	10673000	35780000
Solyc03g095840.2.1	23647000	22608000	19639000	14086000	41242000	19948000	19950000	43965000	19754000	25022000	35387000	31888000
Solyc03g096000.2.1	3773500	9359100	3507600	9235600	12800000	7988200	6267500	10278000	6730800	9860900	10187000	8927000
Solyc03g096080.2.1	0	0	0	0	0	526410	0	0	0	0	0	0
Solyc03g096360.2.1	0	4472500	4019000	2704400	3719900	4369600	3318000	4819700	4673900	3515600	3505600	6070400
Solyc04g049310.1.1	0	0	0	0	0	0	968830	0	0	0	0	0
Solyc03g096810.2.1	4929700	3481200	5748000	4984500	4097400	5877100	7433400	8645400	5688600	7392400	10504000	7890800
Solyc03g097060.2.1	14925000	0	33467000	0	13381000	0	0	21384000	0	22601000	21586000	0
Solyc03g097160.2.1	88393000	64208000	68885000	58046000	76612000	61077000	72193000	59813000	78373000	41725000	22477000	69369000
Solyc03g097190.2.1	1161600	1567400	0	0	0	0	1106400	0	0	2465700	0	0
Solyc03g097280.2.1	5438400	2999100	4499700	3488500	3747400	2800900	4653400	4831200	5296000	2201300	0	4025700
Solyc03g097300.2.1	2709700	1101700	1522900	3366600	3959400	5405800	3557600	1177700	2372200	1555300	875060	1505900
Solyc03g097370.2.1	114470000	83085000	60527000	77506000	66857000	109030000	72471000	56506000	71267000	28262000	22051000	32498000
Solyc03g097450.2.1	22305000	16664000	19124000	20235000	13498000	8620100	17212000	14902000	16004000	11756000	5486700	12334000
Solyc03g097490.2.1	100770000	121040000	191570000	99904000	169770000	160840000	93413000	102050000	145140000	65252000	52675000	99173000
Solyc03g097520.2.1	3576500	3015100	3759100	3555700	2391400	2360000	3919900	2315300	4564700	2289900	0	2611800
Solyc03g097790.2.1	22819000	4951700	4091100	10337000	8436400	13804000	10256000	6994500	9902800	14057000	27404000	12243000
Solyc03g097800.2.1	0	0	0	0	0	5590500	0	0	0	2972100	10873000	6205600
Solyc03g097840.2.1	0	0	0	0	0	0	0	0	0	7837900	22528000	6724200
Solyc03g097900.2.1	96128000	106930000	58699000	96436000	82633000	123890000	81824000	77640000	76496000	135100000	175100000	100870000
Solyc03g097950.2.1	0	0	0	0	0	662800	0	1466500	0	226450	654690	0
Solyc03g098060.1.1	46753000	45304000	31398000	61146000	33635000	33810000	45637000	43935000	41996000	23341000	11250000	21345000
Solyc03g098150.2.1	422500	0	619890	0	0	0	0	0	0	0	0	0
Solyc03g098200.2.1	0	1080100	0	0	0	0	0	0	0	0	0	0
Solyc03g098280.2.1	10402000	13641000	7034800	10279000	8220300	14599000	9879000	15111000	8155600	13047000	9183100	10678000
Solyc03g098290.2.1	3400000	4656600	9475000	3924900	5321700	2754100	3095900	2992300	4913900	5227000	3226400	12538000
Solyc03g098340.2.1	17078000	31572000	29875000	42264000	53529000	32276000	33003000	35046000	50783000	19810000	22363000	26394000
Solyc03g098410.1.1	0	0	0	0	0	0	0	0	0	625480	0	0
Solyc03g098620.2.1	10092000	7317500	6037500	9919100	9940200	6126900	10685000	9204600	11775000	4376900	3323900	4484700
Solyc03g110880.2.1	51574000	32252000	37889000	28792000	17882000	4432500	41715000	21689000	31134000	16493000	7805500	17128000
Solyc03g110900.2.1	51381000	37315000	62251000	40034000	40678000	14163000	50770000	40859000	53879000	78712000	34569000	88288000
Solyc03g111050.2.1	226300000	144410000	167080000	91594000	120570000	144690000	162440000	104410000	126640000	107340000	46749000	113180000
Solyc03g111120.2.1	93156000	97189000	22061000	112800000	110710000	82442000	69956000	64480000	24932000	69859000	89441000	38399000
Solyc03g111170.2.1	0	0	0	0	0	0	0	0	0	0	220670	0
Solyc03g111230.2.1	6758900	15744000	9847100	7014900	9740800	13977000	6967600	10472000	11373000	10255000	20109000	14118000
Solyc03g111250.2.1	23594000	17814000	28990000	14644000	12025000	15015000	19064000	12004000	24168000	18190000	8036800	23691000
Solyc03g111260.2.1	111820000	68059000	60167000	77122000	59941000	79537000	100850000	62106000	70280000	49432000	32218000	40229000
Solyc03g111370.2.1	0	0	0	0	1017300	0	0	0	0	0	0	0
Solyc03g111560.2.1	1135600	1823000	1715300	1456600	1635400	1329400	1392000	0	1421700	3518700	2303300	2477700
Solyc03g111590.2.1	8754900	5165900	6122800	7364600	6225600	2146700	5552500	4791200	3862500	2307000	1683000	2466500
Solyc03g111670.2.1	19260000	24142000	27418000	22137000	34131000	25017000	21275000	27396000	27920000	41072000	24338000	30393000
Solyc03g111810.2.1	2997400	3564300	12109000	3873600	2928900	3911100	1684500	3126900	6932600	3229000	2539500	4516700
Solyc03g111820.2.1	14351000	22458000	61706000	23119000	12423000	53639000	21827000	21414000	71437000	10969000	12566000	14439000
Solyc03g111840.2.1	952490	1500500	0	1302300	2166100	0	1909100	1587700	0	9970700	4746500	1360400
Solyc03g112150.1.1	16241000	27702000	18605000	21866000	24614000	22734000	15588000	23060000	19983000	49251000	142750000	79774000
Solyc03g112350.2.1	110500000	106460000	129080000	112020000	128020000	66903000	113880000	148700000	99621000	95719000	40698000	96219000
Solyc03g112360.1.1	8744900	57277000	14159000	20745000	33015000	30490000	20880000	21189000	14550000	18778000	35638000	50412000
Solyc03g112520.2.1	31770000	25626000	41308000	17560000	25407000	3428800	38659000	28392000	33101000	26888000	13776000	26665000
Solyc03g112530.2.1	9665100	1754400	1929200	6214200	3672000	2241600	4898000	3278800	3200200	1303000	582110	2097800
Solyc03g112550.2.1	0	0	925960	0	0	0	0	0	0	0	0	0
Solyc03g112590.2.1	1769300	0	3021700	0	2084600	0	1768900	2397700	3375600	3006800	3003600	10636000
Solyc03g112820.2.1	62280000	68631000	51750000	1.03e+08	102650000	86097000	71090000	129060000	93123000	85256000	47477000	59805000
Solyc06g071530.2.1	2781900	3340400	0	3636700	4452200	522140	11504000	3550100	968580	3062700	1823100	444020
Solyc03g113020.2.1	0	418570	0	0	0	0	0	212630	0	0	0	0
Solyc03g113220.2.1	5712200	5369400	9738400	6840400	5501900	6111000	10011000	5523400	10317000	18193000	22953000	11774000
Solyc03g113240.2.1	0	658290	0	0	519880	464330	565910	549020	0	1014500	6850900	1123800
Solyc03g113350.2.1	0	0	0	0	0	0	0	3430700	0	0	0	0
Solyc03g113460.1.1	0	0	0	0	0	0	0	177140	0	0	0	0
Solyc03g113500.2.1	26868000	29733000	31220000	40997000	40234000	37047000	28474000	27366000	34380000	22282000	12973000	31686000
Solyc03g114030.2.1	12424000	25178000	45063000	17396000	41092000	36308000	35754000	32769000	47061000	24375000	10159000	23535000
Solyc03g114140.2.1	257980	185760	0	0	0	0	0	0	0	0	0	0
Solyc03g114370.2.1	135050000	186100000	163410000	261630000	257980000	150860000	149580000	222430000	161130000	104860000	100860000	188250000
Solyc03g114410.2.1	11375000	9249100	9804400	6481600	14490000	12048000	9531800	10971000	10934000	6819500	4408500	10460000
Solyc03g114520.2.1	0	0	0	0	0	0	618950	0	0	0	0	0
Solyc03g114780.2.1	0	0	0	0	0	0	254060	0	0	0	0	0
Solyc03g114810.2.1	0	851420	1062000	0	1020200	990490	1359600	1133900	751940	2741600	3840700	1285200
Solyc03g114960.2.1	14064000	10379000	15700000	18864000	8069100	14914000	18892000	10796000	17498000	7161800	3532000	9580500
Solyc03g114990.2.1	0	121080	0	0	0	0	0	0	0	0	0	0
Solyc03g115240.2.1	13038000	11493000	15831000	20920000	13803000	21515000	14012000	15116000	20339000	11339000	8525000	12190000
Solyc03g115250.2.1	0	0	0	0	0	1013000	765720	542350	899270	0	0	0
Solyc03g115360.2.1	2046900	3335900	1769900	1480500	2951100	1844600	1152700	2236000	1215000	7166200	29358000	8406300
Solyc03g115390.2.1	72851000	109260000	74201000	78805000	105110000	92193000	80367000	77070000	76906000	79078000	65468000	86996000
Solyc03g115400.1.1	12467000	13389000	5966800	17601000	14365000	15215000	14191000	13918000	11541000	12281000	9043900	11221000
Solyc03g115760.2.1	0	0	0	0	0	0	0	0	0	0	2012800	0
Solyc03g115770.2.1	0	0	0	0	0	0	0	0	0	3016300	0	0
Solyc03g115900.2.1	11626000	18981000	27610000	21230000	27160000	50073000	17065000	16055000	27780000	129690000	350200000	134490000
Solyc03g116320.2.1	0	0	1129100	0	0	0	0	0	0	0	0	0
Solyc03g116380.2.1	50539000	42664000	29376000	65952000	62525000	35462000	44396000	55721000	39297000	30801000	20589000	42490000
Solyc03g116750.2.1	0	0	0	0	0	0	0	2556400	0	2997200	3094400	2726200
Solyc03g116810.2.1	3256900	4824500	2473100	3977800	5239500	3790000	4730700	4649600	6476000	11867000	9330200	6057600
Solyc03g116920.1.1	212070	0	0	0	0	0	0	0	0	0	0	0
Solyc03g117010.2.1	1196800	1241800	978570	1787600	1024800	1090100	2198600	1192400	1315300	722140	0	0
Solyc03g117020.2.1	0	0	1072100	0	1133200	0	0	770320	0	1509600	0	2092700
Solyc03g117060.2.1	7e+06	20489000	18214000	16907000	14511000	13335000	22676000	13509000	15186000	8690800	4859000	8438200
Solyc03g117120.2.1	37632000	56084000	70385000	54568000	68676000	52977000	41231000	69226000	78776000	41008000	37897000	37780000
Solyc03g117280.2.1	1519700	0	0	0	0	0	0	0	0	0	0	0
Solyc03g117360.2.1	9876400	19541000	13479000	17443000	17188000	19310000	21407000	16604000	12876000	10651000	11271000	9429500
Solyc03g117510.2.1	40219000	20760000	28351000	49222000	44925000	36877000	19849000	20158000	34188000	12047000	5292900	10463000
Solyc03g117670.2.1	3220300	7343300	4651400	0	1372200	7266400	4613300	3973800	8268300	1251000	0	1042000
Solyc03g117850.2.1	0	0	0	0	0	0	0	0	0	0	1534300	0
Solyc03g117890.2.1	555280	695010	0	1311400	2173200	0	775440	557290	493610	9935400	49600000	5876900
Solyc03g117930.2.1	0	0	0	0	1628600	0	0	0	0	0	0	0
Solyc03g117950.2.1	334330	449510	1115600	0	1535700	471940	608690	534090	663100	16362000	47176000	10647000
Solyc03g117970.2.1	29540000	24894000	27313000	23370000	22808000	26149000	28608000	22860000	17872000	14155000	6675800	11259000
Solyc03g117980.2.1	2185000	2063900	1809800	5382800	5817400	12680000	3199600	3943800	2372200	49971000	47062000	36112000
Solyc03g118010.2.1	0	0	0	0	0	0	0	0	0	1955500	5623100	0
Solyc03g118020.2.1	5878800	23136000	8333700	16292000	27412000	14165000	10909000	18297000	8828200	46512000	78999000	35364000
Solyc03g118240.2.1	0	0	450450	0	2208500	0	873860	0	0	6685900	44843000	2518400
Solyc03g118370.2.1	9896800	3522300	2557600	5136900	5629000	3480000	3279900	2707000	2537300	2599400	3096800	2969600
Solyc03g118380.1.1	0	2222800	2794100	1107400	1467100	2869500	3016300	1116500	0	843910	803740	969590
Solyc03g118390.2.1	0	0	0	0	0	0	0	0	0	6203800	8261600	5316600
Solyc03g118430.2.1	0	0	0	0	0	0	335680	0	0	0	0	0
Solyc03g118690.2.1	0	1820200	1185600	1960700	5018500	1610500	2017500	2248300	1514200	16523000	40685000	7898300
Solyc03g118760.2.1	0	0	0	0	0	5589400	0	0	0	0	0	0
Solyc03g118910.1.1	0	0	0	0	0	0	0	0	0	716370	0	0
Solyc03g119010.2.1	71654000	82279000	53322000	50112000	57038000	29816000	45033000	57340000	53474000	48373000	30246000	40354000
Solyc03g119040.2.1	3832800	3109400	3143400	2523200	4939500	4243900	2133900	2656100	2509000	8045400	14565000	3589400
Solyc03g119130.2.1	4133800000	3483200000	4154900000	5828800000	3962700000	3947700000	5100400000	3728600000	2912900000	2886600000	1683300000	3363600000
Solyc03g119220.2.1	0	0	0	0	0	0	0	0	0	0	16931000	0
Solyc03g119250.2.1	0	0	0	4324000	4677400	1692800	0	0	0	3062500	1400100	3123200
Solyc03g119270.1.1	0	0	67004	0	0	0	0	0	0	0	0	0
Solyc03g119280.2.1	0	941490	0	0	0	0	0	0	0	0	3418000	0
Solyc03g119360.2.1	0	8259800	13943000	0	0	0	0	0	0	6547800	0	13306000
Solyc03g119430.2.1	17769000	14021000	11153000	18078000	15668000	15013000	10927000	12404000	7786600	14099000	7644400	11310000
Solyc03g119440.2.1	0	0	0	0	0	0	0	0	0	0	0	1712400
Solyc03g119450.2.1	19276000	18163000	7749200	12013000	12606000	7451600	9029400	10086000	8923400	5103300	4597500	6601600
Solyc03g119460.2.1	12219000	6476900	8565700	17367000	8382900	9218800	13081000	10690000	7348700	8393700	4014000	9277800
Solyc03g119690.1.1	12797000	10357000	14478000	13276000	10577000	9498700	10093000	13957000	11497000	12941000	11752000	14640000
Solyc03g119730.2.1	29520000	13896000	31950000	23597000	12409000	13030000	28577000	19551000	25466000	20902000	7292600	19234000
Solyc03g119780.2.1	805460	0	814870	1081300	0	735930	954100	682110	778180	0	0	0
Solyc03g119790.2.1	0	0	0	0	0	0	0	0	0	926830	0	0
Solyc03g120010.2.1	0	0	0	0	0	0	0	0	0	0	2120700	0
Solyc03g120230.2.1	15895000	7194800	4414500	4884000	3958500	15343000	10532000	4609000	7389000	9271200	23428000	9217400
Solyc03g120270.2.1	28791000	42027000	24508000	31270000	36791000	37924000	29296000	35187000	30901000	31597000	35197000	34586000
Solyc03g120300.2.1	0	0	427070	593750	513790	0	572420	653280	524420	7036500	1191300	1028900
Solyc03g120310.2.1	0	0	1666100	0	0	0	0	0	0	0	0	0
Solyc03g120350.2.1	9733700	13176000	4593500	5329400	9313200	8721700	9498200	12362000	7572400	11589000	10523000	9675600
Solyc03g120430.2.1	0	0	0	4419200	4213500	0	0	0	0	8747200	19607000	4993400
Solyc03g120470.2.1	0	0	0	0	0	0	0	0	0	3751800	0	0
Solyc03g120490.2.1	476560	0	0	0	0	0	0	0	0	0	0	0
Solyc03g120630.2.1	5157400	7189100	5017900	3860900	8393400	5063100	3711500	4053800	4627500	9100400	13126000	5925300
Solyc03g120850.2.1	3547900	3091700	0	2416600	5453100	1911300	2601200	1168100	0	10944000	35437000	5031000
Solyc03g120880.2.1	20329000	13794000	29435000	20062000	17608000	32529000	28956000	25624000	41151000	14643000	16094000	24893000
Solyc03g120940.2.1	4644300	2347900	4965500	3249600	0	0	7771500	2907000	0	0	0	0
Solyc03g121020.2.1	12241000	14566000	16132000	19095000	15514000	19684000	17517000	13631000	22479000	16941000	7931300	17906000
Solyc03g121070.2.1	0	1668700	0	0	2318100	0	1329000	2034400	0	4792900	12802000	1694000
Solyc03g121130.2.1	8976800	9618100	9080900	6928500	8675400	7832700	9196500	9975300	6190000	3247800	2429500	7194100
Solyc03g121170.2.1	29566000	35490000	59421000	34104000	35107000	19687000	25763000	43688000	28642000	28216000	17840000	24753000
Solyc03g121180.2.1	4656800	3594800	7102700	5752300	3981100	5967400	3016300	3431900	4581900	3743500	2941400	4841600
Solyc03g121330.2.1	4759200	5964000	2636100	1763600	5778300	4204300	1941900	4640700	5401400	10366000	16700000	18686000
Solyc06g062510.2.1	0	0	0	0	531400	0	392860	0	901830	2256800	4656000	1011700
Solyc03g121380.2.1	1286400	1018600	1192000	2023300	1258200	0	1718600	1089000	1595900	1158300	0	1038200
Solyc03g121450.2.1	4173300	3043400	1885200	1702700	2011600	2500300	0	3151000	2245900	1775500	0	2785900
Solyc03g121500.2.1	0	902630	989180	1269600	1068800	702620	1166000	1398300	936330	12968000	7508900	12216000
Solyc03g121580.2.1	102120000	72340000	69732000	89582000	53043000	68883000	77633000	71913000	65687000	67221000	31007000	55362000
Solyc03g121590.2.1	0	818780	0	0	0	0	0	0	0	1757900	2024600	2027200
Solyc03g121620.1.1	0	0	0	0	4669000	0	0	0	0	0	0	0
Solyc03g121630.2.1	0	0	0	0	0	0	501640	0	0	0	0	0
Solyc03g121650.2.1	1209300	861090	899530	824690	0	810230	1154300	916790	1386200	859970	0	0
Solyc03g121700.2.1	3547900	2089000	3500700	2695100	2632800	3380000	1488300	1112900	2613400	1878100	0	1287000
Solyc03g121710.2.1	2135000	1645000	2220800	0	1339700	1924600	1245900	0	2171800	2967600	1031500	4072900
Solyc03g121820.2.1	5588800	9536400	11081000	7418200	6072200	5555000	6109100	8354700	10392000	10977000	7571800	10010000
Solyc03g121910.1.1	0	0	0	710010	1621200	0	0	0	0	4905700	15471000	2099600
Solyc12g049270.1.1	0	0	0	0	0	0	0	0	0	0	2532700	1599700
Solyc03g122030.1.1	8457200	5976000	8632900	8794900	6306600	5509600	7418900	6304500	5060000	5989400	4605300	5900200
Solyc12g049420.1.1	0	0	0	0	0	234180	0	0	0	0	0	198710
Solyc03g122310.2.1	0	0	0	0	0	0	0	0	0	2503000	10724000	0
Solyc03g123530.2.1	104520000	85264000	86233000	187730000	121090000	97165000	88127000	118350000	122190000	78002000	39527000	75800000
Solyc03g123610.2.1	0	0	0	0	0	0	0	0	0	1262100	0	0
Solyc03g123630.2.1	1047700000	655060000	1240700000	1476800000	517660000	673940000	1361100000	890700000	1.554e+09	918420000	4e+08	1044100000
Solyc03g123640.2.1	10317000	5160300	9057900	5503800	6649300	6353300	9071100	8594600	9770000	5014900	2838900	7094200
Solyc03g123700.2.1	6247600	3266800	2259600	3098300	2244000	1926800	2967000	1838600	2132500	921500	0	1215800
Solyc03g123800.1.1	1070800	1831900	1451000	0	1292300	0	0	1368400	2643700	8243800	8583000	2851100
Solyc03g123840.2.1	56485000	44159000	64710000	41006000	35306000	22707000	49922000	47440000	48091000	41324000	18962000	36752000
Solyc03g123870.2.1	0	0	0	0	379270	0	0	0	0	0	0	0
Solyc03g123880.2.1	0	0	0	605620	606600	0	0	510800	0	702590	2678000	0
Solyc03g123900.2.1	5602100	5831500	5940400	5934500	7566700	9982900	12505000	9954800	18351000	30183000	27434000	26508000
Solyc03g123960.2.1	3179200	2187700	0	5330400	3879800	3549300	3157400	2774900	1515500	6191500	4133000	8556900
Solyc03g124030.2.1	0	0	0	0	0	0	0	0	0	3362200	3093700	0
Solyc04g005010.2.1	1537900	1114800	1212900	1213300	1389700	0	1221200	0	0	1153600	1071600	0
