proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep1	proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep2	proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep3	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep1	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep2	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep3	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep1	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep2	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep3	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep1	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep2	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep3
Solyc01g008170.2.1	12699000	18132000	10753000	10618000	16711000	6430400	13188000	17358000	12792000	10334000	4368800	7008800
Solyc01g008360.2.1	3482000	8085600	11078000	8218500	6992200	4933000	18908000	4410100	6348300	2470600	5238000	5846900
Solyc01g008730.2.1	10784000	9012100	7414700	14662000	11942000	7996700	11551000	12083000	10729000	12206000	10543000	18913000
Solyc01g008950.2.1	0	0	0	0	0	0	0	0	0	1708800	0	0
Solyc01g008960.2.1	142620000	168620000	163700000	87609000	151800000	117240000	100860000	116190000	152900000	78557000	66237000	100540000
Solyc01g008970.2.1	764400000	607580000	745730000	603100000	555390000	540760000	624820000	519730000	551970000	473500000	260440000	567480000
Solyc01g008990.2.1	5120600	8771700	17508000	10624000	9165800	13951000	8268200	4269600	23302000	11384000	3412700	16419000
Solyc01g009090.2.1	177060000	179840000	205220000	167210000	202350000	184790000	164720000	218190000	200090000	142520000	72677000	180410000
Solyc01g009220.2.1	420290	476760	537000	0	518840	0	436360	394670	0	761450	0	449940
Solyc01g009240.2.1	0	0	0	0	0	15768000	0	0	0	0	0	3264800
Solyc01g009290.2.1	25412000	22384000	21686000	37794000	26512000	14833000	29815000	30349000	18001000	16037000	10468000	16285000
Solyc01g009450.2.1	0	0	0	0	0	0	0	0	0	0	191770	0
Solyc01g009520.2.1	6353300	39115000	14889000	19759000	26974000	32243000	34194000	21869000	13641000	22724000	31105000	23966000
Solyc01g009550.1.1	0	0	0	0	0	0	7645400	0	0	0	0	0
Solyc01g009630.2.1	43567000	200730000	98333000	100240000	114560000	66093000	93355000	104410000	92172000	44932000	28728000	125180000
Solyc01g010440.2.1	3027100	2073500	1052000	2010600	1807100	2154000	1223700	1412500	1288100	39615000	24040000	9618800
Solyc05g007250.2.1	14351000	42329000	17082000	9830700	21170000	20566000	17630000	18029000	14174000	21886000	37561000	35012000
Solyc01g010700.2.1	0	0	251150	0	0	0	0	0	0	0	0	0
Solyc01g010870.2.1	3768200	6702000	4552300	5552800	7295500	6088200	4842000	6978200	3468700	9607000	6598800	3664100
Solyc01g011410.1.1	0	0	0	0	0	0	0	0	0	0	0	1487100
Solyc01g014490.2.1	44004000	48337000	47413000	43456000	53613000	45155000	79046000	48267000	41812000	28945000	17946000	50631000
Solyc01g014850.2.1	6362800	6419800	6982600	8963500	8672300	0	8348200	9690500	6213200	7911400	6815400	5599900
Solyc01g014860.2.1	0	0	278690	0	0	0	0	0	0	0	0	0
Solyc01g015020.2.1	20574000	19267000	14029000	21485000	33866000	21408000	15846000	24191000	18597000	14119000	9277400	14583000
Solyc01g020440.2.1	17070000	18154000	28396000	21506000	19997000	22081000	27047000	34998000	34671000	18216000	7398500	21228000
Solyc01g022750.2.1	0	0	0	0	0	0	0	0	0	0	680390	0
Solyc01g028860.2.1	967340	2545400	615240	1166300	1884800	1148100	829380	1345900	976960	1188100	1401700	0
Solyc01g028930.2.1	5320600	9109200	4070600	4938800	6459400	6899400	7418000	6938800	5515500	5392700	4147800	7704000
Solyc01g049680.2.1	9989500	14534000	9203400	10420000	11822000	11648000	14423000	23258000	18097000	11698000	10459000	18403000
Solyc01g049960.2.1	0	0	0	0	0	0	0	0	398940	0	0	0
Solyc01g056330.1.1	29857000	24906000	11683000	17323000	16331000	12033000	25613000	13859000	20663000	17655000	7677400	13531000
Solyc01g056840.1.1	13021000	7240200	3962900	5572500	5593500	3165500	7810700	4896000	4781000	8067200	2564000	4130000
Solyc01g057090.2.1	0	0	0	0	0	0	0	0	950780	0	0	0
Solyc01g057760.2.1	76988000	89622000	79480000	96496000	82449000	77319000	77907000	109690000	76947000	81024000	48416000	92332000
Solyc01g058730.2.1	3198200	4122200	1917600	2921300	4225900	4766900	6270200	8114900	3920200	5695500	5126700	2946700
Solyc01g060030.2.1	0	0	1151500	0	0	0	0	0	1069600	0	0	1087600
Solyc01g060040.2.1	0	0	435300	0	0	0	0	0	0	0	0	0
Solyc01g060140.2.1	3918300	3481500	4862800	2300900	2279500	3308900	3670100	3696700	3530000	5961800	1113400	3699200
Solyc01g060150.2.1	0	0	2676500	0	0	0	0	0	1333200	0	0	1891600
Solyc01g060170.2.1	0	0	0	0	1880500	0	0	0	0	0	0	0
Solyc01g060180.2.1	1173100	1070800	0	1586000	1628600	0	1353800	1651800	905730	12389000	51223000	6084600
Solyc01g060470.2.1	69831000	67809000	87946000	71690000	85495000	72181000	63438000	85039000	107020000	58881000	69129000	112470000
Solyc01g065530.2.1	0	0	0	0	3255600	0	2999300	3875000	0	8491500	17488000	0
Solyc01g065580.2.1	106740000	68471000	94743000	89461000	72452000	81263000	79209000	87544000	90109000	66698000	28761000	96707000
