proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep1	proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep2	proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep3	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep1	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep2	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep3	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep1	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep2	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep3	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep1	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep2	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep3
Solyc01g060020.2.1	8929800	2717800	1646200	232270000	77210000	24541000	3433500	4875100	4157900	297600000	572990000	189980000
Solyc01g066520.2.1	0	0	0	253650	0	0	0	0	0	912140	19829000	357120
Solyc01g067290.2.1	168760000	0	0	0	53752000	0	0	0	0	124360000	798080000	68415000
Solyc01g067630.2.1	0	0	0	0	0	0	0	0	0	0	1959600	0
Solyc01g067730.2.1	0	0	0	0	0	0	0	0	0	0	0	1170200
Solyc01g068620.2.1	0	0	0	0	0	0	0	0	0	0	2244300	0
Solyc01g073690.2.1	2389700	5458000	2510100	2150600	2387300	3173200	5479100	4607200	3572600	8482900	16294000	3669000
Solyc01g073730.2.1	0	0	0	0	0	0	0	0	0	399880	0	0
Solyc01g073740.2.1	0	0	0	0	1284900	0	0	0	0	2436700	7511800	0
Solyc01g079090.2.1	0	601130	0	0	756980	0	0	0	0	3854100	44115000	2767600
Solyc01g079450.2.1	0	0	0	0	0	0	0	0	0	2055300	4036700	0
Solyc01g079610.2.1	14080000	23572000	21289000	28817000	30840000	26423000	27710000	36844000	21028000	38329000	36498000	54102000
Solyc01g079790.2.1	0	1001100	531970	937410	760460	0	481860	0	728000	9007500	50479000	2233400
Solyc01g079820.2.1	0	0	0	0	0	184100	0	0	0	0	0	0
Solyc01g079940.2.1	0	0	0	2885200	0	0	0	0	0	10523000	13104000	4430800
Solyc01g080010.2.1	0	0	0	0	0	0	0	0	0	5680300	7916500	2759800
Solyc01g080280.2.1	1760400	4182900	1636700	31190000	60881000	7491400	2816900	3521200	1082900	159750000	483740000	158250000
Solyc01g080290.2.1	0	0	0	0	0	0	0	0	0	0	0	1095700
Solyc01g080530.2.1	0	0	0	0	0	0	0	0	0	1038300	0	0
Solyc01g081540.2.1	5000600	4666700	2473800	0	3087800	0	5247100	4142000	2693100	3233800	3188700	0
Solyc01g086920.2.1	2347400	3917800	6982800	4367800	7859700	0	6539500	6225600	5737000	6385500	1003200	7315400
Solyc01g087710.2.1	0	948760	0	0	0	0	0	0	0	0	0	0
Solyc01g087750.2.1	0	0	0	941780	0	0	0	0	0	1218300	8705300	946450
Solyc01g087780.2.1	8967700	14496000	13831000	13990000	17632000	1.5e+07	21338000	14800000	14853000	17940000	16120000	16940000
