proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep1	proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep2	proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep3	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep1	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep2	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep3	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep1	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep2	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep3	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep1	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep2	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep3
Solyc02g086610.2.1	0	0	0	0	0	0	0	0	0	1157500	2327800	0
Solyc02g086730.1.1	2881700	55463000	24864000	16479000	19078000	20903000	13428000	11340000	15922000	52578000	113390000	43959000
Solyc02g086740.1.1	0	12217000	3046100	11068000	6072600	0	2749700	1990800	9836200	12223000	43424000	15141000
Solyc02g086820.2.1	58841000	34009000	41527000	68503000	115010000	48720000	46609000	36778000	36267000	376930000	930790000	223990000
Solyc02g086880.2.1	0	0	0	0	2210300	0	0	0	0	21460000	24602000	6800500
Solyc02g086890.2.1	0	0	0	0	0	0	0	0	0	0	1165900	0
Solyc02g086910.2.1	0	0	0	1223500	869990	0	0	0	1012600	25887000	46025000	7161400
Solyc02g087070.2.1	0	0	0	0	0	0	0	0	0	4246600	15098000	2647100
Solyc02g087130.2.1	6917600	5156500	4963000	3766000	3971500	3220800	6063400	5210500	5870500	1897000	1235500	1989600
Solyc02g087150.2.1	0	0	0	0	0	0	0	0	0	630830	0	0
Solyc02g087240.2.1	0	1897900	1827000	3759300	2570400	3519800	0	1318400	3639700	3028300	21233000	2589000
Solyc02g087720.1.1	0	0	0	0	0	368020	0	0	0	0	0	0
Solyc02g087770.2.1	55233000	31427000	35534000	55709000	15638000	34507000	77209000	110730000	65284000	20039000	6011500	24981000
Solyc02g088000.2.1	0	0	0	0	0	0	0	0	0	0	0	145980
Solyc02g088610.2.1	0	0	0	0	0	527450	0	0	0	0	3018100	0
Solyc02g088630.2.1	0	0	0	0	0	0	0	0	605990	0	0	0
Solyc02g088690.2.1	0	0	0	0	0	0	0	0	0	2218600	6404100	0
Solyc02g088700.2.1	1707900	2371500	1495500	2251000	2820300	2078800	1991600	1718200	1392400	27825000	143650000	4321200
Solyc02g089070.2.1	2873900	4514000	1882300	3758400	4732200	3681400	3579700	5699900	2880900	17461000	18362000	12315000
Solyc02g089080.2.1	0	0	0	0	0	0	0	8837500	0	0	0	0
Solyc02g089350.2.1	3131400	4651800	17995000	1669000	6426800	5487300	1041200	1765100	1256600	0	0	775620
Solyc02g089440.2.1	6764600	12590000	14226000	13323000	16312000	15759000	15400000	18959000	11608000	14841000	17283000	10757000
Solyc02g090030.2.1	0	1578400	1041200	2511800	21507000	1976700	1010800	2453400	8447400	177470000	473810000	113950000
Solyc02g090070.2.1	609730000	116880000	191180000	740280000	421560000	571080000	209770000	265550000	550390000	426920000	317790000	0
Solyc02g090890.2.1	0	0	0	0	0	0	0	0	0	1828900	7249500	1386500
Solyc02g091100.2.1	0	0	0	0	0	0	0	0	0	2208600	3810300	2975900
Solyc02g091560.2.1	14616000	23081000	6649700	31036000	62471000	32427000	21201000	23922000	17921000	178800000	608050000	113830000
Solyc02g091920.2.1	2542000	4032300	6353700	4889700	3534900	2718400	3823400	6137900	6371000	6345500	4527300	3913400
Solyc02g092000.2.1	2988400	2948200	3745400	1513300	1738300	7905800	4484900	3247100	4061400	2668000	4942600	1717500
Solyc02g092440.2.1	0	1140400	0	1322100	0	0	0	1002900	0	2722400	9103500	1096400
Solyc02g093170.2.1	0	0	0	0	0	0	0	0	0	0	0	267810
Solyc02g093860.2.1	0	0	0	0	0	0	0	0	0	0	2632300	0
Solyc02g093900.2.1	0	0	0	0	0	0	0	0	0	0	1211200	0
Solyc02g093940.2.1	604640	478870	588060	0	0	0	474800	468020	0	0	0	0
Solyc02g094470.2.1	10144000	10381000	12360000	12978000	15191000	13122000	11381000	14137000	16089000	38836000	83477000	32048000
Solyc02g094500.2.1	0	1067800	1575800	0	0	1106000	0	0	1237600	0	1580300	0
Solyc02g094590.2.1	6039100	3890000	3596300	2196200	3666400	0	3664700	2147900	2451600	0	0	0
Solyc02g094640.2.1	0	0	0	0	0	0	0	0	0	1276700	4661200	0
Solyc03g005190.2.1	0	0	0	0	0	0	0	0	0	0	1450600	0
Solyc03g005260.2.1	0	0	0	0	3276100	0	0	0	2841400	5708400	16158000	3649100
Solyc03g005280.2.1	0	0	0	0	0	0	0	9067100	0	7804800	15296000	7113500
Solyc03g005310.2.1	15865000	11909000	18290000	11649000	10859000	8846200	13639000	9862600	17278000	9188600	3299700	12385000
Solyc03g005600.2.1	9634400	7429700	6526900	6672400	6874600	8776100	13951000	8408900	5362100	12545000	17577000	11178000
Solyc03g005690.2.1	0	0	0	933000	0	0	0	0	0	0	0	0
Solyc03g005730.2.1	0	0	0	0	0	0	0	0	0	1674100	7154000	1441500
Solyc03g005760.1.1	0	0	0	0	0	0	0	0	0	4656600	0	0
Solyc03g005770.1.1	729750000	2193600000	2.242e+09	2857100000	4722800000	1.005e+10	2340500000	1340600000	3186200000	4979500000	5541800000	9518100000
Solyc03g005780.1.1	14583000	29162000	300790000	43309000	41758000	706730000	39716000	30876000	240990000	92457000	101100000	611170000
Solyc03g005870.2.1	0	0	0	0	0	0	0	0	0	0	0	1415800
Solyc03g005910.2.1	3843900	13270000	8359800	22034000	32387000	15643000	14300000	13818000	12319000	48048000	85189000	26516000
Solyc03g006050.2.1	11646000	9319900	6201400	7116000	12183000	19786000	16297000	6774500	5495900	12531000	10802000	28428000
Solyc03g006140.2.1	661800	560350	267460	1007400	1562200	916040	1065400	976980	697680	39585000	64814000	49307000
Solyc03g006240.2.1	2175400	3244100	6874700	6069500	4787200	4216500	1923400	4855500	5371300	4477300	1002600	3224800
Solyc03g006870.2.1	0	0	0	0	1608900	0	0	0	0	6626200	15155000	4993400
Solyc03g006970.1.1	294880000	518690000	428190000	292470000	434170000	186030000	384530000	401680000	222510000	110620000	60633000	111540000
Solyc03g007190.2.1	0	0	0	117620	0	0	0	0	0	0	0	0
Solyc03g007480.2.1	0	0	0	0	0	0	0	0	0	0	0	328340
Solyc03g007740.2.1	0	0	0	0	0	0	0	0	0	858890	0	0
Solyc03g013240.2.1	0	0	753810	0	0	0	0	0	0	0	0	0
Solyc03g019780.2.1	0	7119200	2827600	3160200	7961000	7449800	4489100	5298400	2837500	12386000	25255000	20528000
Solyc03g019940.2.1	0	0	0	0	0	0	0	0	0	1894800	3753600	0
Solyc03g020010.1.1	0	0	0	0	0	0	0	0	0	5201400	9359600	1129800
Solyc03g020030.2.1	0	0	2181600	0	0	0	0	0	0	0	0	0
Solyc03g020040.2.1	27134000	28622000	20076000	43861000	43733000	35259000	35108000	25323000	15691000	62352000	35499000	21115000
Solyc03g020050.2.1	0	0	0	0	0	0	0	0	0	2635200	5774800	0
Solyc03g025410.2.1	505020	733510	0	602700	868770	664960	614590	771320	665140	9794300	32953000	8736600
Solyc03g025530.2.1	876810	849210	1124600	0	2025400	952610	1631300	999690	1128300	2215100	1100600	2837900
Solyc03g031600.2.1	0	0	0	0	0	0	0	0	0	712760	0	740690
Solyc03g031790.1.1	4725500	6503300	3379800	5728100	6121800	7825900	8149300	7893100	4661400	7487600	9100600	6982600
Solyc03g032070.2.1	140810000	148200000	137040000	169070000	143090000	123830000	160410000	128750000	143370000	116020000	90817000	126760000
Solyc03g034170.2.1	0	0	0	0	0	0	946020	0	0	3861500	28501000	2526300
Solyc03g034220.2.1	103690000	164630000	88054000	637670000	726260000	190820000	167790000	116350000	79326000	2350500000	6293500000	1294700000
Solyc03g044010.2.1	0	0	0	0	0	0	0	0	0	0	2660800	0
Solyc03g045090.2.1	0	0	0	0	0	1677800	0	0	0	5184600	6323700	6158800
Solyc03g051810.2.1	0	0	0	0	0	0	0	0	0	0	2094200	0
Solyc03g058920.2.1	0	1712800	2182700	0	1525100	0	1348100	1935800	2037500	3428700	14568000	2406400
Solyc03g059180.2.1	0	220820	0	402720	485700	354470	371940	216540	0	9059500	63584000	9244400
Solyc03g071590.2.1	0	0	0	0	0	0	0	0	0	0	2225800	0
Solyc03g078400.2.1	115850000	93434000	77341000	104030000	103340000	95215000	108310000	110490000	74514000	149320000	286490000	132940000
Solyc03g078640.1.1	80156000	32855000	20868000	57636000	40534000	41281000	48510000	38305000	22476000	27274000	14255000	10123000
Solyc03g079930.2.1	13780000	8035200	26389000	10946000	8909500	15426000	12891000	6272500	35072000	6240200	4499100	13693000
Solyc03g080050.2.1	15209000	6384500	7109700	11235000	7416700	8178900	14140000	11415000	7240000	21936000	36884000	15886000
Solyc03g082480.2.1	1771800	913210	2842200	0	0	0	1210200	842050	0	0	0	0
Solyc03g082720.2.1	0	0	0	0	0	0	0	0	0	341640	0	0
Solyc03g082910.2.1	0	164840	0	0	0	0	0	0	0	0	0	0
Solyc03g083090.2.1	0	0	0	0	0	0	0	0	0	0	0	95006
Solyc03g083560.1.1	0	2366900	2614700	3475900	1988400	0	0	6058600	4029300	1530300	0	4045400
Solyc03g083710.1.1	0	4567200	1996800	1673800	5384500	1792600	1483200	1640400	3241800	3994500	2392500	5744600
Solyc03g083730.1.1	2944700	16857000	25194000	24622000	40809000	13531000	10372000	11522000	22586000	25029000	51052000	40845000
Solyc03g093360.2.1	0	0	0	0	0	3927100	0	0	0	0	0	0
Solyc03g093690.2.1	0	0	0	1685400	3683300	0	0	0	0	12469000	35741000	3185200
Solyc03g095220.2.1	13645000	9208400	6797500	10298000	13347000	15993000	9887300	9380800	8792000	14215000	13358000	10670000
Solyc03g095360.2.1	0	0	0	0	0	0	0	0	0	1712000	2805400	2248000
Solyc03g095410.2.1	8455400	8366100	6381900	3964500	7755400	4177800	7368800	9232800	7560400	6592600	5902400	6810400
Solyc03g095470.2.1	0	857850	0	0	0	0	999920	0	759550	823520	1415100	666060
Solyc03g096290.2.1	5788000	3692100	5591000	0	3671500	5158300	4918400	2591500	3841700	7059200	10427000	5118800
Solyc03g096460.2.1	2418200	2235100	2698300	0	0	3162400	0	2257700	3608400	1589700	0	2029100
Solyc03g096540.2.1	0	368680	231580	940630	438850	570290	2533800	3813300	5671800	17517000	42244000	18297000
Solyc03g096550.2.1	0	5538700	0	2480200	2220500	1809800	2346800	2996900	2741000	15789000	29770000	12926000
Solyc03g096730.2.1	0	0	0	0	0	0	0	0	0	0	305640	0
Solyc03g096850.2.1	18331000	158230000	33497000	37939000	74741000	69458000	86819000	99276000	47928000	187720000	200340000	213570000
Solyc03g096920.2.1	1180100	1403600	2383500	0	2108000	1389000	2172000	0	0	1849200	0	2304000
Solyc03g097020.2.1	7489800	8248600	5615000	9462600	8774400	9079600	8186300	6871700	5767500	12389000	9252800	9151700
Solyc03g097110.2.1	0	0	0	0	0	0	361620	0	0	791490	0	0
Solyc03g097290.2.1	0	1600500	0	1206000	567740	0	0	1085000	0	2114600	5333300	1231400
Solyc06g072580.2.1	0	0	0	1004900	0	0	0	0	0	0	16686000	1045600
Solyc03g097970.2.1	0	0	0	0	0	0	0	0	0	408450	0	0
Solyc03g098600.2.1	9831000	7725700	6486900	6621000	9578800	9553700	8556100	8786800	8116200	7063300	10661000	8520300
Solyc03g098730.1.1	0	0	0	762570	0	761130	764810	1166100	830230	19604000	16414000	11846000
Solyc03g098740.1.1	0	0	0	0	0	0	0	0	0	2357100	3899300	3029100
Solyc03g110910.2.1	0	203800	0	0	0	0	0	0	0	0	0	0
Solyc06g071960.2.1	0	0	0	0	1011500	0	0	0	0	6281600	9464700	0
Solyc03g111010.2.1	0	0	0	0	0	0	0	0	0	240130	0	0
Solyc03g111130.1.1	0	0	0	0	678640	0	0	0	0	0	0	0
Solyc03g111140.2.1	27997000	13344000	7246000	19933000	25615000	13850000	12730000	15370000	6719200	10900000	16172000	8129900
Solyc03g111180.2.1	0	0	248170	0	0	0	0	0	0	0	0	0
Solyc03g111200.2.1	0	0	0	0	0	0	0	0	0	600020	0	0
Solyc03g111570.2.1	1820000	1641200	3266600	0	2130000	2229100	1852700	2264200	1802800	3425500	4360600	3355400
Solyc03g111610.2.1	0	0	0	0	0	0	0	0	0	7274400	16196000	5901200
Solyc03g111690.2.1	8399900	8920900	15168000	8816500	9676500	6057900	6408000	15768000	17543000	8835200	3439400	15025000
Solyc03g111850.2.1	0	0	0	0	0	0	0	0	0	0	2228500	0
Solyc03g112060.2.1	0	0	0	0	0	0	0	0	0	0	0	670070
Solyc03g112070.2.1	1868200	1126000	0	957990	1550600	882310	1406600	1045600	0	2940300	23245000	2895000
Solyc03g112300.2.1	243470000	238840000	428980000	184450000	192360000	766690000	473400000	233540000	0	0	230040000	272670000
Solyc03g112870.2.1	0	2454500	2887400	0	3211000	0	2993200	2087100	2058800	7899600	17889000	8753600
Solyc03g113030.2.1	23619000	21868000	40176000	28154000	46197000	26733000	23676000	40456000	34573000	10497000	17686000	18052000
Solyc03g113400.2.1	1440300	1323700	3153200	2106400	3248100	4767700	2083000	2411200	3316600	14322000	15441000	6589700
Solyc03g113630.2.1	222610000	146690000	1.56e+08	101470000	116640000	129840000	137670000	92028000	131290000	98130000	40718000	84365000
Solyc03g113800.2.1	0	0	0	0	0	0	0	0	0	0	1700400	0
Solyc03g114150.2.1	0	0	0	1974000	3086300	0	1357900	4024000	0	7661300	37911000	3167000
Solyc03g114340.2.1	0	0	0	0	0	372000	0	0	0	563040	3010000	560460
Solyc03g114450.2.1	20855000	25666000	28356000	35457000	40892000	55989000	40813000	28019000	26093000	125040000	296170000	62955000
Solyc03g114930.2.1	0	0	0	0	1574900	0	0	0	0	3819300	26059000	4636600
Solyc03g115020.2.1	4785000	7636000	5470600	4301000	4932600	5479300	4985900	5025400	3384200	7519100	22282000	0
Solyc03g115110.2.1	1015300	716660	1728500	1036100	1411800	1541500	0	2253300	1947700	6617300	37639000	7913800
Solyc03g115820.2.1	0	0	0	0	0	0	0	0	0	0	23837000	0
Solyc03g115980.1.1	16947000	18697000	10440000	31038000	44057000	13096000	15813000	13480000	10437000	102230000	380570000	59877000
Solyc03g115990.1.1	3546200	7811700	10524000	8706800	4763500	6727700	7342700	18127000	11698000	9836300	14778000	8195500
Solyc03g116110.2.1	0	0	0	0	0	0	0	0	0	0	0	2379600
Solyc03g116500.2.1	9583200	8778100	3601700	4514500	6876400	4928500	12425000	9663000	6887100	2707100	0	3819900
Solyc03g116590.2.1	0	0	2104000	0	0	1452800	994100	0	0	0	0	0
Solyc03g116790.2.1	74497000	33514000	47975000	54544000	41178000	85387000	71231000	40944000	58868000	40781000	35214000	35159000
Solyc03g116870.2.1	0	0	674150	999350	0	958150	1061600	972370	0	1867100	30198000	1192200
Solyc03g117250.2.1	58594000	14155000	14046000	42489000	12853000	22958000	12252000	3153400	3451200	817570	0	317600
Solyc03g117430.2.1	936260	1290200	0	661020	1133600	0	883700	1157500	0	2023800	6363900	1000500
Solyc03g117440.2.1	1001500	0	0	0	0	0	0	0	0	0	0	0
Solyc03g117740.2.1	0	0	0	0	0	0	0	0	0	2145600	7835000	0
Solyc03g117940.2.1	481590000	359160000	460540000	642950000	411860000	367290000	546030000	759260000	427490000	359540000	284430000	685120000
Solyc03g118040.2.1	4699700	21791000	6997200	8558000	15016000	11127000	7397600	16805000	7482400	17548000	35505000	12920000
Solyc03g118130.2.1	0	259960	0	0	548960	456860	261600	146640	0	1371800	5100300	1466000
Solyc03g118170.2.1	0	0	0	0	0	0	0	0	0	0	4075900	0
Solyc03g118340.2.1	0	0	0	0	0	0	0	0	0	0	3122000	0
Solyc03g118410.2.1	627520	0	0	0	830820	0	0	0	0	1162300	4054500	0
Solyc03g118510.2.1	19104000	13719000	14193000	13480000	19516000	18169000	21587000	11871000	14261000	21467000	12510000	19196000
Solyc03g118780.2.1	1895100	3393400	2468500	1624600	1687200	0	2515000	877140	1017100	2001500	936550	1303900
Solyc03g118800.2.1	217660000	174200000	137900000	137360000	152820000	132510000	179050000	146580000	134980000	139730000	102480000	180790000
Solyc03g119080.2.1	1579900000	2.418e+09	1591700000	2175600000	2429300000	2094900000	2656500000	4775800000	4024500000	1415400000	959790000	1.461e+09
Solyc03g119150.2.1	0	0	0	0	0	0	0	0	0	0	1354300	0
Solyc03g119210.1.1	0	0	0	0	413120	0	763080	0	0	0	673130	0
Solyc03g119650.2.1	0	0	0	0	621080	0	575890	911930	0	2746100	0	826380
Solyc03g120040.2.1	0	0	0	0	0	0	0	0	0	262760	0	0
Solyc03g120080.2.1	93989000	108410000	99874000	106920000	126620000	64422000	83161000	138570000	109600000	45259000	32535000	61171000
Solyc12g044280.1.1	950330	853190	0	0	866460	832660	0	0	842630	16940000	75550000	13388000
Solyc03g120670.2.1	0	0	0	0	0	0	0	0	0	629390	2684200	420900
Solyc03g120680.2.1	0	0	1078200	0	0	0	0	0	0	0	0	0
Solyc06g066660.2.1	0	0	0	0	0	3676900	0	0	0	0	2922000	0
Solyc03g121540.2.1	40707000	16159000	28231000	34449000	44299000	21566000	26733000	13307000	28487000	247480000	93349000	98276000
Solyc03g121600.2.1	10392000	14432000	16659000	35077000	10789000	20528000	20406000	9223700	6591900	2505200	0	1074400
Solyc03g121720.2.1	0	0	0	0	0	0	0	0	0	8115300	18596000	5728000
Solyc03g121860.1.1	0	0	0	0	0	0	0	0	0	646730	0	3474900
Solyc03g123410.1.1	123490000	365420000	553620000	463430000	389140000	229740000	207200000	233500000	510350000	194740000	103810000	583730000
Solyc03g123490.1.1	0	0	0	1992500	0	0	0	0	0	0	0	0
Solyc03g123730.2.1	1577700	3388100	1939100	2460500	3622700	4218800	4728000	3527700	2318500	7503600	9402700	3961600
Solyc03g123760.2.1	0	0	0	0	0	0	0	0	0	618410	2175500	0
Solyc04g005160.1.1	0	0	0	0	1869100	0	0	0	0	2484500	9334700	2922800
Solyc04g005340.2.1	14332000	15279000	9186400	26933000	20043000	24706000	24253000	13645000	9460300	9377600	39051000	10501000
Solyc04g005450.2.1	7851900	4817700	5147800	8177100	8017700	7451100	5235800	3952000	6244000	8574200	9825000	7795900
Solyc04g005700.2.1	26418000	44294000	47505000	41934000	45461000	61107000	29173000	32619000	37199000	38465000	43097000	38479000
Solyc04g007060.2.1	627350	0	0	0	0	0	0	0	0	0	0	1164200
Solyc04g007160.1.1	0	0	13581000	0	0	0	0	0	0	0	0	0
Solyc04g007550.2.1	0	811660	1486200	2116500	3786900	3204400	0	952240	1681400	12152000	41119000	9530700
Solyc04g007950.2.1	0	3039600	4491100	1294700	0	407660	1561700	4185700	3877700	496920	0	2050500
Solyc04g008340.2.1	0	0	0	0	0	0	1624000	0	0	0	0	0
Solyc04g008740.2.1	0	0	0	0	0	0	0	0	0	0	3574100	0
Solyc04g009020.2.1	1097300	0	0	0	0	0	0	0	0	0	0	0
Solyc04g009030.2.1	253880000	259640000	189010000	233440000	438670000	281200000	241300000	247740000	263150000	1238500000	3791900000	1009600000
Solyc04g009200.2.1	831980	1168400	712070	11919000	19430000	1060200	1326800	1027700	0	35470000	114340000	21811000
Solyc04g009540.1.1	2592600	17502000	5439400	2732800	8129000	11420000	6370600	8190500	5937300	12131000	28815000	18021000
Solyc04g009940.2.1	0	633180	0	0	0	0	650910	0	0	825020	3034200	735630
Solyc04g009960.2.1	0	0	0	0	0	0	0	0	0	0	2357200	0
Solyc04g011350.2.1	3103600	7443900	5104700	2050600	5493000	5564300	4507700	5612800	6188100	6616500	12010000	4907700
Solyc04g011500.2.1	13551000	14047000	12761000	16976000	16553000	9090400	16315000	15279000	9835600	18261000	40598000	20338000
Solyc04g014490.1.1	0	0	0	0	0	0	0	0	0	0	916140	0
Solyc04g014570.2.1	5894000	3123300	2228700	3579100	3431900	0	4234700	3411200	2911300	0	3759900	0
Solyc04g014670.2.1	0	0	0	0	0	0	0	0	0	0	0	181330
Solyc04g015180.2.1	0	931190	2592700	709360	765700	0	805620	1721300	2730000	621700	0	535040
Solyc04g015560.2.1	276690000	207420000	203740000	196480000	167210000	149250000	328170000	183940000	138650000	86024000	62977000	113230000
Solyc04g015610.2.1	0	0	0	2556900	0	0	0	0	0	0	0	0
Solyc04g015620.2.1	379980000	154800000	162390000	170960000	126960000	120250000	171290000	126340000	135730000	88256000	47379000	114090000
Solyc04g016520.2.1	0	0	0	0	0	0	0	0	185710	0	0	0
Solyc04g017710.2.1	699260000	1057200000	617360000	1261800000	1228600000	825510000	714520000	989350000	727030000	695310000	5.53e+08	579840000
Solyc04g040130.1.1	0	0	0	0	0	0	0	0	0	2563800	2777700	3099900
Solyc04g040170.2.1	11071000	8102500	7715800	5768400	3017400	0	10049000	8688200	3582800	4558300	2179800	4261900
Solyc04g045340.2.1	958930	1340500	0	1557200	2034500	1365600	1119500	1254000	0	4056300	7404200	1417800
Solyc04g047720.2.1	0	0	0	0	0	0	0	0	0	0	0	602990
Solyc04g049090.2.1	0	0	0	0	0	0	1027800	0	713700	3364400	3846000	1478400
Solyc04g049330.2.1	712420	624040	2065000	716250	524880	4050600	2165000	1023800	685070	1622400	4859500	865530
Solyc04g049350.2.1	0	0	0	0	0	0	0	0	0	1785900	8092700	1886400
Solyc04g050240.2.1	0	1780900	1627800	1814500	0	0	1874100	1735000	0	1244200	1904700	1543900
Solyc04g050480.2.1	0	867450	0	0	0	0	0	0	0	0	0	0
Solyc04g050930.2.1	0	0	0	0	0	0	0	0	0	1300400	3240600	0
Solyc04g051830.2.1	5331100	7830200	2881400	3050400	10062000	4659900	3684200	7475300	2993800	11188000	11123000	8482500
Solyc04g054510.2.1	0	1217300	0	0	0	0	0	0	0	0	0	0
Solyc04g054690.2.1	3549700	0	0	12344000	46757000	5846900	5327500	2995000	2380700	196040000	108800000	183110000
Solyc04g054710.2.1	0	0	0	0	0	0	536680	0	0	0	0	0
Solyc04g054990.2.1	0	1343600	0	0	0	0	0	0	0	0	0	0
Solyc04g057870.2.1	23935000	19334000	28197000	18183000	23927000	26861000	21516000	25503000	20885000	12113000	7027500	11660000
Solyc04g063360.2.1	3269500	5352100	4264800	4368100	6019400	5703500	5050400	6691700	7900300	6374600	2945100	3405300
Solyc04g064820.2.1	0	0	0	0	0	0	0	0	0	0	0	339850
Solyc04g071560.2.1	0	0	0	0	0	0	0	0	0	0	0	924350
Solyc04g071880.2.1	0	0	0	0	0	4801200	0	0	0	3453900	2544700	2451700
Solyc04g072000.2.1	0	0	0	0	0	0	0	0	0	725920	0	0
Solyc04g072850.2.1	211910000	235600000	311720000	388540000	311710000	154390000	193200000	154990000	212370000	386600000	2.27e+08	300820000
Solyc04g072910.2.1	0	0	0	0	0	0	0	0	0	0	1543800	0
Solyc04g074400.1.1	0	1084100	3611200	755990	633540	552540	898700	2023100	0	750710	0	1282800
Solyc04g074410.1.1	75268000	160220000	309770000	110400000	98775000	138910000	94012000	136510000	247550000	57374000	26089000	64955000
Solyc04g074420.1.1	0	0	0	0	10023000	0	0	0	0	0	0	0
Solyc04g074440.1.1	0	0	0	4685400	0	0	0	0	0	0	0	0
Solyc04g074450.1.1	0	6193700	12593000	5031300	7057900	0	4879400	4812800	14102000	1079600	0	3918500
Solyc04g074470.1.1	0	4502100	10238000	4989600	5912100	15019000	11044000	5120800	12624000	7024500	6881100	10175000
Solyc04g074480.2.1	1556200	2788900	403220	10021000	32437000	1411300	2663000	6756600	391610	128090000	339110000	104320000
Solyc04g074640.2.1	891120	914970	639810	1751500	2394100	757120	1411600	821850	650910	34259000	78350000	14121000
Solyc04g074750.2.1	9956800	14237000	12655000	5296700	7616500	6786100	7962600	6541800	9057500	4335400	4668700	5523600
Solyc04g074770.2.1	0	0	0	0	0	0	0	0	0	0	1991400	0
Solyc04g076090.2.1	0	0	0	1316900	0	0	0	0	0	1670800	4708000	1145000
Solyc04g076790.2.1	0	0	0	0	141100	0	0	0	0	0	0	0
Solyc04g077020.2.1	52684000	74459000	62923000	25325000	67407000	41812000	56147000	64446000	71898000	65341000	109190000	75333000
Solyc08g079020.2.1	0	0	0	0	0	0	0	0	0	0	0	676650
Solyc04g078290.2.1	0	0	0	0	0	0	0	0	0	0	0	769950
Solyc04g078820.2.1	27102000	29420000	28769000	21189000	26590000	19476000	24111000	29511000	33186000	20271000	12152000	22841000
Solyc04g079240.2.1	0	0	0	0	0	0	0	0	0	3319900	2688500	2180400
Solyc04g080080.2.1	20987000	10130000	8947400	24157000	19005000	18772000	28957000	23280000	17146000	111550000	69831000	40449000
Solyc04g080180.1.1	0	0	896860	0	0	1456000	0	0	0	0	0	912010
Solyc04g080420.2.1	0	0	286870	0	0	0	0	0	0	0	0	0
Solyc04g080570.2.1	0	1359000	0	0	1235300	1259900	725620	1461000	1314000	3523000	23990000	1340400
Solyc04g080850.2.1	0	0	523350	0	0	0	0	0	0	1026200	3978700	864460
Solyc04g081300.2.1	875700	993810	1024500	942850	832960	1381400	0	810290	772040	0	0	0
Solyc04g081570.2.1	3423700	9259600	2083300	3927400	6567200	4811200	3575300	11479000	2632400	6783000	19411000	5246900
Solyc04g081870.2.1	164440000	139450000	260410000	117040000	124740000	289440000	163820000	202960000	457500000	56880000	38146000	158400000
Solyc04g081970.2.1	762620	654330	866130	0	735530	0	0	0	0	1029300	10027000	1113000
Solyc04g082010.1.1	0	0	0	0	3224600	0	0	0	0	19940000	34506000	7746000
Solyc04g082140.2.1	36788000	116570000	161850000	100890000	157590000	83407000	67498000	102540000	101230000	84654000	76188000	123440000
Solyc04g082250.2.1	103820000	81800000	140760000	99588000	185260000	595580000	158720000	141340000	141950000	335300000	629790000	447610000
Solyc04g082630.2.1	6938900	9162800	4717900	7735400	14362000	7434500	9048400	5842100	8790400	43975000	116090000	37159000
Solyc04g082640.2.1	0	0	0	0	0	0	0	0	0	0	1359500	0
Solyc04g082670.2.1	1453100	2009700	3102000	2007600	1928700	3097200	2544200	2925400	1911100	2233100	3114500	2560100
Solyc04g083010.2.1	0	0	0	0	0	0	0	0	0	0	1861600	0
Solyc05g005480.2.1	0	2417100	0	0	1763100	0	2033200	7441900	1456200	9662000	19938000	2907200
Solyc05g005490.2.1	38294000	19874000	14415000	45748000	20126000	20072000	31278000	24429000	16492000	57868000	60801000	20088000
Solyc05g005550.2.1	7563200	7029000	3054800	6080300	2908500	0	6619600	8627000	0	0	0	0
Solyc05g005760.2.1	0	0	923180	0	0	0	399460	0	453550	0	212230	0
Solyc05g006090.2.1	8235600	8303200	8451600	5562600	7626500	6013900	7006600	7225100	9164300	3826400	2122200	4859500
Solyc05g006520.2.1	0	0	0	0	0	0	0	0	0	477170	2627000	0
Solyc05g007780.2.1	0	0	0	0	0	0	0	0	0	0	1793300	0
Solyc05g007830.2.1	0	16090000	0	18085000	12800000	20785000	11571000	25947000	46272000	9848000	8869700	18550000
Solyc05g008450.2.1	0	0	0	0	1189100	0	0	0	0	4217400	10668000	1093600
Solyc05g008460.2.1	37775000	75579000	64490000	101870000	243680000	97626000	57530000	83196000	82441000	253700000	1031500000	162150000
Solyc05g008600.2.1	0	0	0	0	0	0	0	0	0	0	5274100	0
Solyc05g008810.2.1	0	0	0	0	0	0	0	0	0	1642300	0	0
Solyc05g009120.2.1	0	0	0	0	0	0	0	0	0	0	0	1492500
Solyc05g009570.2.1	0	0	0	0	0	0	0	0	414720	0	3162400	0
Solyc05g009600.2.1	2481600	3341400	3152300	4106300	7569800	1770100	2593100	5181700	3426300	4468900	6436500	6168900
Solyc05g009890.1.1	157970000	108250000	101570000	146790000	147790000	122370000	144310000	124650000	127580000	48278000	40021000	57875000
