RepI_1	RepI_2	RepI_3
Solyc10g007180.2.1	0.160188522317716	0.119253471246276	0
Solyc10g009220.2.1	0.0717091953272858	0.120574941240282	0.106752810629289
Solyc10g017850.2.1	0.154581479983825	0.0514208937642642	0.281913402670207
Solyc10g051380.1.1	0	0.393196259985476	0
Solyc10g051390.1.1	0.368026228050678	0.181013809292194	0.193706180563046
Solyc10g079130.1.1	0.213025218995906	0.293568225723552	0
Solyc10g081030.1.1	0.251592356687898	0.338921320721339	0.297926116181212
Solyc10g081120.1.1	0	0.465711336741797	0
Solyc10g081240.1.1	0	0	0.451178451178451
Solyc10g081530.1.1	0.483663811308086	0.240468208092486	0.318584881649275
Solyc10g083290.1.1	0.46216141514649	0.319836833358513	0.255020746887967
Solyc10g086190.1.1	0	0.139715370018975	0
Solyc11g008620.1.1	0	0.276616633625979	0
Solyc11g010470.1.1	0.400768572313184	0.0791616445694389	0.471650222332487
Solyc11g010560.1.1	0.121844468875106	0.0578767123287671	0
Solyc11g011920.1.1	0.088042066192391	0.0701551728113255	0
Solyc11g013440.1.1	0.126757669831994	0.288874566986224	0
Solyc11g017070.1.1	0.395050505050505	0.180439932318105	0.348028882064902
Solyc11g040370.1.1	0.254162061800981	0.374071553567956	0.244924440647194
Solyc11g044530.1.1	0	0.139001062699256	0
Solyc11g051160.1.1	0	0.236183195399074	0
Solyc11g066110.1.1	0.434844672657253	0.308487559749969	0.46360662173657
Solyc11g069700.1.1	0.397524143526394	0.426150192935589	0.356649634793789
Solyc11g072450.1.1	0	0.0218745653410887	0
Solyc12g005630.1.1	0.0949838187702265	0.0232453631078712	0.0922651646896981
Solyc12g009140.1.1	0.492875647668394	0.185103069170866	0.449146742106224
Solyc12g009960.1.1	0.0546740246406571	0.0298325927318128	0.0264569083447332
Solyc12g010380.1.1	0	0.106051019383348	0
Solyc12g019550.1.1	0.0022101808847075	0.00373482193790237	0.00441597552137853
Solyc12g021280.1.1	0.395493929471372	0.146859478151525	0.499263894000736
Solyc12g027720.1.1	0.0171722586947139	0.0113579470766417	0.345525081198123
Solyc12g038080.1.1	0.0760727752639517	0.133129474507985	0.341872243810854
Solyc12g042920.1.1	0.196226125642402	0.0934410206286332	0.377266740958363
Solyc12g044860.1.1	0.30464686848837	0.452925986452265	0.261276921717097
Solyc12g045030.1.1	0	0.0596482290150412	0
Solyc12g056830.1.1	0.0192684795097664	0.0591270436478176	0.032491108666172
Solyc12g062610.1.1	0.0194687007613129	0.0457162815064905	0.109175423610973
Solyc12g094620.1.1	0.127428998505232	0.184742500759691	0.111301837387821
Solyc12g098610.1.1	0.0886795892325454	0	0.254823966537116
Solyc12g099260.1.1	0	0.155569649446494	0
