RepIn_1	RepIn_2	RepIn_3
Solyc06g063370.2.1	0.118038962436767	0.158468343107047	0.353466925444723
Solyc06g065490.2.1	0	0.191836850787872	0
Solyc06g066000.1.1	0.0445738664119237	0.0333870247749423	0.186493355602353
Solyc06g069730.2.1	0	0.167178041296957	0
Solyc06g071920.2.1	0.285984294795526	0.188969243418293	0.329676934635612
Solyc06g074430.2.1	0	0.37709549319048	0
Solyc06g074820.2.1	0.427334771917499	0.104568298605229	0
Solyc06g082950.2.1	0.0434594624673084	0.047422074103117	0.103152373192096
Solyc06g083300.2.1	0	0.0987391722810395	0
Solyc07g005330.2.1	0.0352963335007534	0.0976526497695853	0
Solyc07g006280.2.1	0.201545595054096	0	0
Solyc07g006890.1.1	0.118762137130907	0.191932090256113	0
Solyc07g007760.2.1	0.090241891148983	0.252851765040131	0.468585786267173
Solyc07g042440.2.1	0.120981638837721	0.029909147479776	0.091116778814847
Solyc07g051850.2.1	0.102702043305886	0.0585449114572221	0.0584788012705427
Solyc07g052350.2.1	0.310267207717633	0.13906976744186	0
Solyc07g052480.2.1	0.0363695056736664	0.0384485658226665	0.0309264957264957
Solyc07g053260.2.1	0.324206252537556	0.248404407147343	0.29960270297803
Solyc07g054290.1.1	0.0392577398369079	0.0561955560320566	0
Solyc07g054820.2.1	0.0339374606175173	0.0176582413366864	0.0291499003081385
Solyc07g056140.2.1	0.091783757056327	0.0582056009130015	0
Solyc07g056540.2.1	0.197287248405791	0.0892739637900928	0.225473742132957
Solyc07g062480.1.1	0.173601813293975	0.149890969245808	0.0694012194012194
Solyc07g062490.1.1	0.22537420746454	0.294306335204491	0.0636781080334959
Solyc07g064950.2.1	0.216466367189779	0.111650045330916	0
Solyc07g065900.2.1	0.255347187024835	0.0779242558345367	0.097514550312969
Solyc07g066470.2.1	0.208130660198927	0.0649128435461448	0.463639012309709
Solyc07g066610.2.1	0.177728069271209	0.135147526436442	0.130235037557548
Solyc08g007040.2.1	0	0.131635452701897	0
Solyc08g013670.2.1	0.0553899493882756	0.0804985894097222	0.0800575377016447
Solyc08g014390.1.1	0.297748218095973	0.397232010075162	0.400666930424462
Solyc08g065220.2.1	0.0589329009342908	0.0632162431489786	0.0356579035836751
Solyc08g076220.2.1	0.339919095338788	0.145512397878744	0.188087663485331
Solyc08g076480.2.1	0	0.146320295053123	0
Solyc08g079180.2.1	0.118128749797308	0.0542972256891984	0.278717317302817
Solyc08g080660.1.1	0	0.012167601009537	0
Solyc08g081190.2.1	0.333425061916794	0.13253597354859	0.343516681695221
Solyc08g082430.2.1	0	0.13951353832033	0
Solyc09g007910.2.1	0	0.137475274231253	0.44514496660998
Solyc09g009390.2.1	0.174556724808995	0.0889145677464844	0
Solyc09g009890.2.1	0.181409921671018	0.17926588541016	0.214914277044455
Solyc09g015040.1.1	0.166823246668123	0.35380999269447	0.0865186178476231
Solyc09g064450.2.1	0.291362143840695	0.0798644572413523	0.399790624636501
Solyc09g065180.2.1	0.0978757185874624	0.0385627118644068	0
Solyc09g065730.2.1	0.0630457102672293	0.0433305559763672	0.273136383305141
Solyc09g082320.2.1	0.311546272120685	0.21691393956603	0.366240814562221
Solyc09g090140.2.1	0.309196824003511	0.295804461491144	0.275153742312884
Solyc09g091180.2.1	0	0.413966513382856	0
Solyc09g091660.2.1	0.469637171347404	0	0
Solyc09g092380.2.1	0.30828031106398	0.227807486631016	0.253777271247151
Solyc09g098280.2.1	0	0.176785714285714	0.295704371066471
Solyc10g005110.2.1	0.196056219844766	0.0284471945814867	0
Solyc10g006230.2.1	0	0.0781773270930837	0.317960624662065
Solyc10g007390.2.1	0	0	0.242234855615376
Solyc10g007600.2.1	0.205719133099825	0.102843291794307	0.069000976244712
Solyc10g008140.2.1	0.172041238693853	0.144397296473219	0.480224808077253
Solyc10g008740.2.1	0.428955471155499	0.203059770826881	0
Solyc10g018300.1.1	0.227056296837872	0.124213966663035	0.0783384301732926
Solyc10g044520.1.1	0	0.115097671736467	0
Solyc10g049710.1.1	0	0.0763025156087688	0
Solyc10g054780.1.1	0.271031275645117	0	0
Solyc10g055200.1.1	0.208982761716646	0.477999230821437	0.0662058968186172
Solyc10g055630.1.1	0.183119954946499	0.131575068843812	0.381433832803592
Solyc10g055800.1.1	0.044414593985614	0.0260327843013634	0.0445344564925172
Solyc10g075020.1.1	0	0.134398545530829	0
Solyc10g076240.1.1	0.0245322924547768	0.00407042637242882	0.00194964773875129
Solyc10g079880.1.1	0.260792044041911	0.138566910088841	0.273728813559322
Solyc10g080080.1.1	0	0.0923371205012343	0
Solyc10g081980.1.1	0	0.0445583926329008	0
Solyc10g082030.1.1	0.0735764416467694	0.0587154748705049	0.0341448559670782
Solyc10g086580.1.1	0.194324929772784	0.144388785874408	0.104561548785015
Solyc11g006730.1.1	0.258039718129404	0	0.270119061627496
Solyc11g007690.1.1	0	0.107856161245992	0
Solyc11g007990.1.1	0	0.0529784158317133	0
Solyc11g009020.1.1	0	0.143251031501736	0
Solyc11g010190.1.1	0.212729456167439	0.100367688652563	0.1185819925082
Solyc11g011470.1.1	0.193388371684525	0.167142588765734	0.454822140866619
Solyc11g011960.1.1	0.245041110227742	0.137180183676109	0
Solyc11g017250.1.1	0.0202092352920911	0.0731637001754826	0.243396825396825
Solyc11g039840.1.1	0	0.100149551345962	0.271990808931833
Solyc11g039980.1.1	0.321416732795596	0.126856441271429	0.371048252911814
Solyc11g042640.1.1	0.345453631060149	0.0621390006871503	0.161251842299189
Solyc11g044910.1.1	0.361050097788476	0.180114478811075	0.132274927395934
Solyc11g069790.1.1	0.316886726893676	0.140338338280642	0.421507517674002
Solyc12g005860.1.1	0.115287958115183	0.0904272826410231	0.295427169306268
Solyc12g008630.1.1	0.107955235973263	0.0822795432157321	0.178846153846154
Solyc12g009250.1.1	0.173273997670937	0.0583881678237247	0.373551191242756
Solyc12g009980.1.1	0	0.0421987087517934	0
Solyc12g010040.1.1	0.214896668968815	0.129001978201001	0
Solyc12g010060.1.1	0.200172114485808	0.132486217560844	0.14977724791366
Solyc12g010840.1.1	0.289410555174777	0.0448444823178526	0
Solyc12g011000.1.1	0	0.0664958662098016	0
Solyc12g011280.1.1	0.353412676176438	0.172101725012684	0.131704364929268
Solyc12g013810.1.1	0	0.123791204912826	0
Solyc12g042060.1.1	0.279792444997924	0.178482142857143	0.425782639630025
Solyc12g042770.1.1	0	0.0889486059791737	0
Solyc12g056220.1.1	0.307972329326378	0.22956749971471	0.382440846824408
Solyc12g094460.1.1	0.134135625596944	0.203152435510661	0.132802483570536
Solyc12g094640.1.1	0.267521430141402	0.123298531492414	0.169423472889499
Solyc12g099930.1.1	0.0472528241527542	0.0448810489054126	0.027932361516035
