Rep24_1	Rep24_2	Rep24_3
Solyc01g005520.2.1	32.5978581979321	Inf	12.0432032462108
Solyc01g007300.1.1	Inf	11.8605226687785	Inf
Solyc01g073640.2.1	7.19710778952485	20.779331826788	Inf
Solyc01g080840.2.1	6.90000973615033	Inf	Inf
Solyc01g090190.2.1	Inf	Inf	12.3652891836107
Solyc01g096240.2.1	2.11643848694888	Inf	Inf
Solyc01g100650.2.1	7.85462274176408	Inf	Inf
Solyc01g102860.2.1	Inf	7.73417608032993	2.08274937541893
Solyc01g104170.2.1	10.914402792533	Inf	Inf
Solyc01g108600.2.1	2.93319061635893	4.08083545018346	Inf
Solyc02g021560.2.1	20.6771720613288	40.4032747119466	Inf
Solyc02g062130.2.1	2.89438281210783	5.67946297461716	Inf
Solyc02g065300.1.1	Inf	6.48165535812355	Inf
Solyc02g079440.1.1	34.3424701579519	Inf	Inf
Solyc02g090490.2.1	Inf	20.2046949882219	38.5951319348001
Solyc03g111840.2.1	5.22272274893929	2.9895446242993	Inf
Solyc03g118240.2.1	7.65099672716453	Inf	Inf
Solyc03g120850.2.1	4.20728894356451	30.3372998887082	Inf
Solyc03g121070.2.1	3.60639578630549	6.29276445143531	Inf
Solyc04g074310.2.1	2.00608502590247	Inf	Inf
Solyc04g080630.2.1	3.54069844642146	Inf	Inf
Solyc05g009980.2.1	156.295087598763	34.0734545454545	Inf
Solyc06g005500.2.1	Inf	2.48972703877146	9.21699120861063
Solyc06g048730.2.1	Inf	6.8296435272045	Inf
Solyc06g061190.1.1	Inf	Inf	13.4231654308361
Solyc06g062950.1.1	16.8826619964974	Inf	Inf
Solyc06g076150.2.1	8.22649685567828	7.80661065879529	Inf
Solyc06g082760.2.1	2.4178601516428	12.235811080724	Inf
Solyc07g016150.2.1	3.05811054758016	5.50240656010458	Inf
Solyc07g032250.2.1	Inf	7.54660689900849	Inf
Solyc07g043320.2.1	17.2289605497371	9.99808880677837	Inf
Solyc07g047800.2.1	Inf	29.3807874852028	Inf
Solyc07g066150.1.1	Inf	15.131716029171	2.03395075985034
Solyc08g029000.2.1	570.45101088647	1258.6111921195	Inf
Solyc08g069030.2.1	Inf	54.6396102650658	Inf
Solyc08g080130.2.1	Inf	8.88848712756725	Inf
Solyc09g011810.2.1	33.3830214610424	Inf	Inf
Solyc09g013080.2.1	Inf	3.70434465798342	Inf
Solyc09g082060.2.1	4.59375405791456	Inf	2.2161020358896
Solyc09g091470.2.1	Inf	3.44893669634026	Inf
Solyc10g005100.2.1	6.83722527472527	Inf	Inf
Solyc10g009220.2.1	11.0555555555556	Inf	9.96218181818182
Solyc10g031550.1.1	4.73910890346204	Inf	Inf
Solyc10g079130.1.1	6.02248195695216	Inf	Inf
Solyc10g081030.1.1	2.86627593640528	2.58247339567881	Inf
Solyc11g006060.1.1	2.58184166820447	35.1175975792268	Inf
Solyc11g008620.1.1	2.79057504440497	Inf	Inf
Solyc11g018550.2.1	Inf	43.1876494890193	4.14954128440367
Solyc11g044530.1.1	Inf	Inf	4.19349181605612
Solyc11g051160.1.1	2.77267552182163	4.75678921732168	Inf
Solyc11g072450.1.1	6.57659354109783	74.1120794677162	Inf
Solyc12g005630.1.1	Inf	24.0597664402114	83.7252260083449
Solyc12g006180.1.1	Inf	4.35989182442272	Inf
Solyc12g009410.1.1	Inf	3.81549917264203	3.59321424035897
Solyc12g019550.1.1	239.526480935628	343.308775529236	Inf
Solyc12g099260.1.1	2.11956179066835	8.07975402962825	Inf
